recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Kmag,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,Mass_calc,Mass,Mass_e
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,6.339359821608809,6.08,0.3899,,,,"USco,silver",no,Simbad,1,0.12262004857279213,0.181,0.0570870217639209
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,5.709359821608809,5.76,1.7251,,,,"USco,gold",no,Simbad,1,0.19288391908465927,0.258,0.0570870217639209
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,5.209359821608809,5.96,0.3628,,,,"USco,gold",no,Simbad,1,0.28204514755780813,0.204,0.0570870217639209
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,6.259359821608809,6.24,1.7205,,,,"USco,gold",yes,Simbad,1,0.12918110674074676,0.154,0.0570870217639209
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,3.6793598216088093,5.74,0.3236,0.3286,1.4699,0.3586,"USco,gold",no,Simbad,1,0.7951044862052842,0.265,0.0570870217639209
395,203362293,16 09 30.22,-26 23 41.9,,12.49,,6.25,0.39,6.709359821608809,5.86,1.0369,,,,"USco,bronze",no,Simbad,1,,0.229,0.0
397,204824603,16 09 31.08,-20 41 46.3,,10.14,,6.36,0.54,4.339359821608809,5.82,3.0965,,,,"USco,gold",no,Simbad,1,0.5119612669294524,0.241,0.0570870217639209
402,204769996,16 09 36.07,-20 56 25.8,,11.68,,6.31,0.51,5.889359821608808,5.8,1.7179,,,,"USco,bronze",no,Simbad,1,0.16790007357237446,0.248,0.0570870217639209
404,204783273,16 09 37.06,-20 52 53.2,,11.98,,6.28,0.19,6.219359821608808,6.09,1.1105,,,,"USco,gold",no,Simbad,1,0.1332145469251232,0.179,0.0570870217639209
408,203844180,16 09 43.53,-24 43 10.0,,12.17,,6.02,0.4,6.389359821608808,5.62,0.8422,,,,"USco,bronze",no,Simbad,1,0.11836631021078922,0.301,0.0570870217639209
410,204288433,16 09 46.33,-22 55 34.0,,11.03,,6.08,0.35,5.2493598216088095,5.72,1.8162,,,,"USco,gold",maybe,Simbad,1,0.2748056837623697,0.269,0.0570870217639209
415,203856109,16 09 51.96,-24 40 20.0,,12.13,,6.95,0.83,6.2993598216088085,6.12,1.4332,,,,"USco,bronze",yes,Simbad,1,0.12589205103126205,0.174,0.0570870217639209
416,204982702,16 09 52.06,-19 58 06.8,,10.46,,6.23,0.09,4.719359821608808,6.14,2.403,,,,"USco,bronze",yes,Simbad,1,0.3950996901792007,0.17,0.0570870217639209
418,203849738,16 09 52.87,-24 41 53.5,,10.93,,6.17,0.45,5.139359821608808,5.72,0.619,,,,"USco,gold",no,Simbad,1,0.29469130392442533,0.269,0.0570870217639209
423,204078097,16 09 58.51,-23 45 18.9,,11.62,,7.04,0.74,5.7993598216088085,6.3,1.4106,,,,"USco,gold",yes,Simbad,1,0.18000220885782567,0.145,0.0570870217639209
425,205366676,16 09 59.32,-18 00 09.2,,10.34,,5.92,0.32,4.56935982160881,5.6,3.6874,,,,"USco,gold",yes,Simbad,1,0.4398117730846125,0.306,0.0570870217639209
430,203036352,16 10 03.93,-27 28 48.2,,11.2,,5.61,0.0,5.469359821608808,5.61,0.7104,,,,"USco,gold",no,Simbad,1,0.23454437532758268,0.303,0.0570870217639209
434,205024957,16 10 10.99,-19 46 04.2,,11.38,,6.19,0.47,5.589359821608809,5.71,1.6656,,,,"USco,gold",yes,Simbad,1,0.21273449171859124,0.272,0.0570870217639209
439,202515599,16 10 15.41,-29 23 56.2,,12.08,,6.46,0.0,6.349359821608809,6.46,0.5851,,,,"USco,bronze",no,Simbad,1,0.12174940411331545,0.123,0.0570870217639209
442,204133691,16 10 20.85,-23 31 55.8,,11.05,,6.01,0.32,5.279359821608809,5.68,0.8106,,,,"USco,gold",no,Simbad,1,0.2693057908396101,0.281,0.0570870217639209
444,202915242,16 10 21.53,-27 54 17.6,,11.2,,6.09,0.28,5.429359821608809,5.8,1.2661,1.7012,,,"USco,bronze",no,Simbad,1,0.24183891956400883,0.246,0.0570870217639209
