recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
810,204418342,16 19 48.77,-22 24 47.6,,10.83,,5.98,0.0,10.83,5.98,0.4761,0.6337,,,"USco,silver",no,Simbad,1,0.999997,2975.0,157.0,0.499,0.021,0.00486,-1.7520267336381934
811,204598458,16 19 48.84,-21 40 36.2,,10.81,,5.44,0.32,10.77,5.13,1.5429,,,,"USco,gold",no,Simbad,1,0.996487,3222.0,157.0,0.574,0.02,0.00845,-1.4822764051662645
812,204542962,16 19 50.68,-21 54 35.4,12.36,8.2,4.16,4.16,0.19,8.18,3.97,1.2719,,,,"USco,gold",no,Simbad,1,0.999561,,,,,,
813,204260042,16 19 50.91,-23 02 08.2,,12.14,,6.39,0.32,12.1,6.07,1.3344,,,,"USco,bronze",maybe,Simbad,1,0.999996,2927.0,157.0,0.359,0.021,0.0026,-2.039529222465701
814,204347422,16 19 51.40,-22 41 26.9,,12.18,,7.32,0.7,12.09,6.62,6.8541,,,,"USco,bronze",yes,Simbad,1,0.999998,3128.0,172.0,0.371,0.022,0.0037,-1.8999742698921374
815,204168477,16 19 51.85,-23 23 41.0,,10.79,,6.56,0.64,10.71,5.93,0.7376,0.5238,,,"USco,bronze",no,Simbad,1,0.999999,2906.0,157.0,0.588,0.021,0.00651,-1.6352614449446015
816,204364130,16 19 54.96,-22 37 32.5,,11.46,,6.92,0.57,11.39,6.35,1.2696,,,,"USco,bronze",no,Simbad,1,0.999998,2955.0,157.0,0.5,0.022,0.00487,-1.761201437286083
817,204966512,16 20 03.98,-20 02 41.5,8.06,7.09,0.97,0.97,0.93,6.97,0.04,,,,,"USco,gold",maybe,Simbad,1,0.999952,,,,,,
818,204964091,16 20 05.49,-20 03 23.0,7.4,6.68,0.72,0.72,0.84,6.57,-0.12,3.9214,,,,"USco,gold",yes,Simbad,1,0.999821,,,,,,
819,204469637,16 20 06.14,-22 12 38.8,,10.65,,5.52,0.32,10.61,5.19,4.9174,,,,"USco,gold",yes,Simbad,2,1.0E-6,3263.0,157.0,0.609,0.02,0.01016,-1.3977229156998074
820,204321959,16 20 06.85,-22 47 32.2,,10.79,,6.15,0.4,10.74,5.76,0.7811,,,,"USco,gold",no,Simbad,1,0.999981,3058.0,157.0,0.592,0.021,0.00776,-1.5400047439526086
821,205403104,16 20 07.59,-17 47 59.4,,8.72,,3.4,0.33,8.68,3.07,2.7512,,,,"USco,bronze",no,Simbad,1,0.999997,4490.0,122.0,,,,
822,205399487,16 20 08.56,-17 49 18.4,11.32,8.23,3.09,3.09,0.64,8.15,2.46,,,,,"USco,bronze",no,Simbad,1,0.999998,4751.0,122.0,,,,
823,204932248,16 20 08.97,-20 12 22.5,,10.62,,6.51,0.77,10.52,5.74,3.7208,,,,"USco,bronze",maybe,Simbad,1,0.999992,3066.0,157.0,0.584,0.021,0.00756,-1.549442990581671
824,203583386,16 20 15.03,-25 38 44.3,9.1,7.67,1.43,1.43,1.39,7.49,0.04,,,,,"USco,gold",no,Simbad,1,0.999968,6327.0,342.0,1.249,0.27,0.97057,0.7009943030671879
825,204956337,16 20 21.62,-20 05 35.1,,10.96,,6.45,0.88,10.85,5.57,7.7648,,,,"USco,gold",no,Simbad,1,0.999999,2996.0,157.0,0.512,0.021,0.00525,-1.7166987712964503
826,204408707,16 20 22.91,-22 27 04.3,,10.18,,5.48,0.56,10.11,4.93,3.2942,,,,"USco,bronze",yes,Simbad,1,0.992964,3552.0,123.0,0.486,,,-0.9743255505896555
827,204559599,16 20 24.97,-21 50 24.1,,9.88,,4.87,0.37,9.83,4.5,5.6604,,,,"USco,gold",no,Simbad,2,1.0E-6,3592.0,136.7,0.505,0.097,0.02343,-0.9414221508667749
828,204287798,16 20 26.08,-22 55 43.1,,11.84,,7.13,0.76,11.74,6.37,0.9748,,,,"USco,bronze",no,Simbad,1,1.0,2883.0,157.0,0.418,0.021,0.00318,-1.95233580539844
1251,203989848,16 29 24.53,-24 06 48.0,,9.75,,8.92,4.61,9.15,4.32,,,,,"ROph,bronze",no,Simbad,1,1.0,4295.0,123.0,,,,
829,204655550,16 20 27.24,-21 26 06.8,,9.19,,4.45,0.25,9.16,4.2,4.0268,6.0824,,,"USco,gold",no,Simbad,2,1.0E-6,,,,,,
830,204638251,16 20 28.13,-21 30 32.5,8.57,7.5,1.07,1.07,0.54,7.43,0.53,3.6071,,,,"USco,gold",no,Simbad,1,0.999593,6949.0,156.6,1.52,0.254,0.34701,0.7197695043347382
831,205516967,16 20 28.25,-17 03 51.0,,8.96,,3.76,0.7,8.87,3.06,4.5187,,,,"USco,bronze",no,Simbad,1,0.99999,4218.0,122.0,,,,
832,203848625,16 20 28.63,-24 42 08.8,,9.69,,5.8,1.94,9.44,3.86,7.9926,,,,"USco,bronze",yes,Simbad,1,0.999862,3942.0,168.3,0.613,0.09,0.07855,-0.4617153894098597
833,204951022,16 20 30.25,-20 07 03.7,7.56,6.23,1.33,1.33,1.45,6.04,-0.12,,,,,"USco,bronze",no,Simbad,1,0.999915,6392.0,122.0,1.28,,,1.1414086937846648
834,204951731,16 20 30.56,-20 06 51.9,8.41,7.09,1.32,1.32,0.78,6.99,0.55,,,,,"USco,gold",no,Simbad,1,0.999931,6492.0,122.0,1.328,,,0.7808528277681162
835,204615541,16 20 31.17,-21 36 15.3,,10.59,,5.55,0.32,10.55,5.23,2.4707,,,,"USco,bronze",no,Simbad,1,0.997667,3212.0,157.0,0.609,0.02,0.00969,-1.4242350194632807
836,204279000,16 20 32.44,-22 57 45.6,,9.77,,5.9,1.18,9.62,4.72,4.395,,,,"USco,gold",no,Simbad,1,0.999806,,,,,,
837,204666965,16 20 36.40,-21 23 12.3,,10.02,,5.86,0.21,9.99,5.65,13.3557,0.4891,,,"USco,gold",no,Simbad,1,0.999964,3113.0,122.0,,,,
838,203869829,16 20 38.48,-24 37 01.5,,9.6,,5.36,1.05,9.47,4.31,10.714,,,,"USco,bronze",maybe,Simbad,1,0.999998,,,,,,
839,203478236,16 20 40.39,-26 00 18.2,,11.51,,6.63,0.82,11.4,5.81,1.7358,,,,"USco,bronze",no,Simbad,1,0.999997,3024.0,157.0,0.545,0.021,0.00622,-1.6428277422769664
840,203891936,16 20 44.68,-24 31 38.3,,8.53,,3.89,0.0,8.53,3.89,0.4691,0.5776,,,"USco,gold",no,Simbad,1,0.999998,3971.0,122.0,,,,
841,204372172,16 20 50.23,-22 35 38.7,9.03,7.78,1.24,1.24,0.79,7.68,0.46,0.1234,0.0458,,,"USco,gold",yes,Simbad,1,0.999491,7205.0,114.9,1.614,0.274,0.93565,0.6498963518964029
842,204296346,16 20 50.95,-22 53 40.0,,9.8,,5.34,0.31,9.76,5.03,8.2662,,,,"USco,silver",no,Simbad,1,0.999527,3553.0,321.7,0.487,0.142,0.10627,-1.0214542995372613
843,204907137,16 20 53.00,-20 19 20.2,,9.96,,4.99,0.88,9.85,4.11,,,,,"USco,bronze",no,Simbad,1,0.999995,4756.0,668.6,0.765,0.133,0.14456,-0.5181991904613894
844,205211404,16 21 02.88,-18 50 22.1,,8.98,,3.64,0.7,8.89,2.94,5.5216,,,,"USco,bronze",no,Simbad,1,0.999245,4032.0,122.0,,,,
