recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
363,205152244,16 09 00.01,-19 08 37.1,,10.96,,6.29,0.67,10.87,1.8142,,,,"USco,gold",Simbad,1,0.999993,5.622,1.8142,,0.3,Y,242.25015,-19.14378,0.6275401112625327
364,202957873,16 09 00.50,-27 45 19.7,,11.24,,6.13,0.05,11.24,0.7722,0.3686,,,"USco,gold",Simbad,1,0.999997,6.08,0.7722,0.3686,0.181,,242.25216,-27.75539,0.38375946830460295
368,202978875,16 09 01.67,-27 40 52.3,,11.95,,6.97,0.52,11.88,0.3057,,,,"USco,bronze",Simbad,1,0.999999,6.448,0.3057,,0.125,,242.25703,-27.68115,0.27892467836345736
377,204100531,16 09 07.75,-23 39 54.5,,11.13,,6.37,0.38,11.08,1.2548,,,,"USco,gold",Simbad,1,0.999998,5.994,1.2548,,0.196,,242.28234,-23.66514,0.1594180053211292
379,204448136,16 09 08.81,-22 17 47.0,,12.07,,6.12,0.04,12.07,0.3899,,,,"USco,silver",Simbad,1,0.999996,6.08,0.3899,,0.181,,242.28684,-22.2963,0.542895613021196
383,205056060,16 09 15.80,-19 37 06.4,,11.46,,5.9,0.14,11.44,1.7251,,,,"USco,gold",Simbad,1,0.999974,5.762,1.7251,,0.258,,242.31587,-19.61842,0.15232784467670596
384,204093677,16 09 16.88,-23 41 32.5,,10.97,,6.25,0.29,10.94,0.3628,,,,"USco,gold",Simbad,1,0.999996,5.962,0.3628,,0.204,,242.32041,-23.69236,0.2527693167045953
386,205092303,16 09 20.54,-19 26 32.1,,12.08,,6.94,0.7,11.99,1.7205,,,,"USco,gold",Simbad,1,0.999998,6.236,1.7205,,0.154,Y,242.33561,-19.44219,0.23420275431729562
387,204429883,16 09 20.62,-22 22 05.9,15.9,9.5,6.4,6.4,0.66,9.41,0.3236,0.3286,1.4699,0.3586,"USco,gold",Simbad,1,0.999995,5.737,0.3236,0.3286,0.265,,242.336,-22.36826,0.32227592112722525
395,203362293,16 09 30.22,-26 23 41.9,,12.49,,6.25,0.39,12.44,1.0369,,,,"USco,bronze",Simbad,1,0.999996,5.863,1.0369,,0.229,,242.37598,-26.3949,0.3306212327733515
397,204824603,16 09 31.08,-20 41 46.3,,10.14,,6.36,0.54,10.07,3.0965,,,,"USco,gold",Simbad,1,0.999994,5.821,3.0965,,0.241,,242.37958,-20.69611,0.4062022767904139
