   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       50    0.55000  1.11687160000E+07   1.43119   4.25771  10.56628 -30.00000   0.49982   0.00000  0.00000E+00  7.97190E-01  1.93300E-01  9.19400E-03     0.02950     0.98030     0.00000     0.00060    -0.00919  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2970532283
       51    0.55000  1.14865060000E+07   1.43199   4.25737  10.56734 -30.00000   0.49982   0.00000  0.00000E+00  7.93100E-01  1.97000E-01  9.60600E-03     0.02920     0.98070     0.00000     0.00060    -0.00926  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3055054573
       52    0.55000  1.17788360000E+07   1.43276   4.25706  10.56836 -30.00000   0.49982   0.00000  0.00000E+00  7.89060E-01  2.00600E-01  1.00100E-02     0.02900     0.98060     0.00000     0.00060    -0.00896  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3132805293
       53    0.55000  1.20501860000E+07   1.43350   4.25676  10.56931 -30.00000   0.49982   0.00000  0.00000E+00  7.85640E-01  2.03700E-01  1.03700E-02     0.02870     0.98120     0.00000     0.00060    -0.00924  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3204975982
       54    0.55000  1.23469760000E+07   1.43427   4.25645  10.57033 -30.00000   0.49982   0.00000  0.00000E+00  7.81880E-01  2.07000E-01  1.07800E-02     0.02850     0.98140     0.00000     0.00060    -0.00926  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3283912923
       55    0.55000  1.26423660000E+07   1.43507   4.25612  10.57138 -30.00000   0.49982   0.00000  0.00000E+00  7.77820E-01  2.10600E-01  1.12100E-02     0.02820     0.98140     0.00000     0.00060    -0.00893  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3362477508
       56    0.55000  1.29138360000E+07   1.43583   4.25582  10.57236 -30.00000   0.49982   0.00000  0.00000E+00  7.74080E-01  2.14000E-01  1.16100E-02     0.02800     0.98150     0.00000     0.00060    -0.00883  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3434680113
       57    0.55000  1.31845760000E+07   1.43657   4.25553  10.57332 -30.00000   0.49982   0.00000  0.00000E+00  7.70710E-01  2.17000E-01  1.20000E-02     0.02770     0.98190     0.00000     0.00060    -0.00900  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3506688562
       58    0.55000  1.34830860000E+07   1.43735   4.25522  10.57432 -30.00000   0.49982   0.00000  0.00000E+00  7.67300E-01  2.19900E-01  1.24100E-02     0.02750     0.98210     0.00000     0.00060    -0.00888  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3586082970
       59    0.55000  1.38089460000E+07   1.43819   4.25488  10.57543 -30.00000   0.49982   0.00000  0.00000E+00  7.63080E-01  2.23700E-01  1.29100E-02     0.02720     0.98250     0.00000     0.00060    -0.00901  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3672751630
       60    0.55000  1.40957860000E+07   1.43895   4.25457  10.57643 -30.00000   0.49982   0.00000  0.00000E+00  7.59410E-01  2.26900E-01  1.33500E-02     0.02700     0.98270     0.00000     0.00060    -0.00905  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3749042179
       61    0.55000  1.43847760000E+07   1.43973   4.25425  10.57746 -30.00000   0.49982   0.00000  0.00000E+00  7.55710E-01  2.30100E-01  1.38000E-02     0.02670     0.98300     0.00000     0.00060    -0.00903  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3825904562
       62    0.55000  1.46739260000E+07   1.44049   4.25395  10.57843 -30.00000   0.49982   0.00000  0.00000E+00  7.52500E-01  2.32900E-01  1.42200E-02     0.02650     0.98300     0.00000     0.00060    -0.00881  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3902809500
