recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
123,1-5-2593,08 00 24.53,-61 25 53.96,,20.73,17.57,14.81,8,9.2,,11.0,*,-1.97,,121,,0.2,0.36,-4.9,0.26,0,1,0.999972
124,1-5-2756,08 00 31.01,-61 25 57.11,,20.91,17.91,15.27,7,0.99,,21.0,,-2.13,,146,,0.26,0.47,-4.77,0.22,0,1,0.999964
125,1-5-283,07 58 57.97,-61 32 39.40,0.698,17.73,15.5,13.25,19,3.16,,24.9,*,-1.25,0.007,53,-1.88,0.67,0.8,-4.3,0.56,1,1,0.992964
126,1-5-2858,08 00 33.84,-61 25 58.40,,17.36,15.21,13.28,36,11.17,<,8.0,*,-1.14,,47,,0.02,0.0,-5.74,0.6,0,1,0.999619
127,1-5-925,07 59 19.07,-61 27 59.70,1.314,19.19,16.58,14.49,7,1.98,,35.0,,-1.65,0.008,85,-1.81,0.22,0.41,-4.8,0.41,1,1,0.99885
128,1-6-1056,07 59 25.20,-61 23 10.37,,20.51,17.63,14.96,8,1.77,,24.6,,-2.03,,131,,0.3,0.1,-4.69,0.25,0,1,0.999937
129,1-6-1146,07 59 27.62,-61 17 42.93,,19.01,16.48,14.25,17,8.21,<,8.0,*,-1.62,,81,,0.03,0.0,-5.69,0.42,0,1,0.997667
130,1-6-1165,07 59 29.02,-61 22 14.85,,20.08,17.13,14.68,8,0.66,,35.7,,-1.82,,103,,0.25,0.18,-4.79,0.32,0,1,0.999926
131,1-6-1250,07 59 32.09,-61 19 10.20,,20.49,17.64,15.05,7,50.14,,47.9,*,-2.04,,132,,0.28,0.37,-4.71,0.25,0,1,0.999949
132,1-6-1371,07 59 36.07,-61 21 06.80,0.941,20.14,17.28,14.59,11,1.82,,25.8,,-1.9,0.026,112,-2.07,0.13,0.16,-5.04,0.3,1,1,0.999915
133,1-6-1450,07 59 38.51,-61 16 44.25,,20.49,17.34,14.95,10,0.82,,20.9,,-1.88,,109,,0.16,0.11,-4.99,0.29,0,1,0.999219
134,1-6-1655,07 59 44.93,-61 19 03.83,,19.42,16.57,14.15,18,14.41,<,8.0,*,-1.62,,81,,0.06,0.03,-5.37,0.41,0,1,0.999527
135,1-6-1682,07 59 45.85,-61 17 55.63,,17.66,15.43,13.31,34,0.7,<,8.0,,-1.22,,51,,0.04,0.08,-5.54,0.57,0,1,0.992964
136,1-6-189,07 58 55.13,-61 18 34.40,12.232,17.9,15.77,13.65,20,0.63,<,8.0,,-1.36,0.014,60,-0.69,0.26,0.26,-4.71,0.52,1,1,0.992964
137,1-6-215,07 58 56.18,-61 23 16.22,,18.17,15.8,13.64,20,1.53,<,8.0,,-1.36,,60,,0.04,0.01,-5.5,0.52,0,1,0.810485
138,1-6-2353,08 00 09.53,-61 22 32.62,,20.92,17.94,15.32,6,3.81,,25.7,,-2.15,,149,,-0.04,0.22,,0.22,0,1,0.999966
