,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
93,94,1-4-3379,07 58 14.39,-61 00 00.90,6.422,17.96,15.69,13.48,28,10.4,,10.1,*,-1.32,0.011,58,-0.95,0.47,0.46,-4.45,1,1,3565.0,157.0,0.528,0.023,0.04098,0.01032,0.37696629213483146,0.033371469090881234
94,95,1-4-3439,07 58 16.00,-61 05 53.40,0.704,19.66,16.72,14.34,13,1.09,,31.2,,-1.66,0.017,85,-2.08,0.28,0.2,-4.72,1,1,3165.0,159.0,0.407,0.034,0.01547,0.00521,0.18539473684210528,0.033371469090881234
95,96,1-4-3464,07 58 16.53,-60 58 24.37,,18.87,16.26,14.0,23,17.44,,19.7,*,-1.52,,73,,0.21,0.28,-4.82,0,1,3384.0,157.0,0.461,0.026,0.02538,0.00709,0.28053097345132744,0.033371469090881234
96,97,1-4-3531,07 58 18.77,-61 03 07.75,,20.44,17.53,15.03,8,1.74,,22.4,,-1.99,,124,,0.16,0.21,-4.98,0,1,3292.0,160.0,0.271,0.04,0.00919,0.00379,0.23982300884955754,0.033371469090881234
97,98,1-4-355,07 56 28.90,-61 02 01.10,2.392,17.8,15.46,13.22,31,0.89,,9.0,,-1.23,0.014,52,-1.33,0.42,0.48,-4.51,1,1,3542.0,157.0,0.615,0.024,0.05693,0.01464,0.36404494382022473,0.033371469090881234
98,99,1-4-3693,07 58 24.23,-60 58 53.04,,18.24,15.89,13.71,25,27.76,<,8.0,*,-1.39,,63,,0.09,0.03,-5.16,0,1,,,,,,,,0.033371469090881234
99,100,1-4-3776,07 58 27.23,-61 02 45.40,0.639,19.99,17.03,14.53,12,2.55,,25.0,,-1.78,0.011,98,-2.19,0.2,0.29,-4.88,1,1,3214.0,160.0,0.411,0.042,0.01677,0.00628,0.20530973451327433,0.033371469090881234
100,101,1-4-3820,07 58 28.72,-61 03 18.26,,16.98,15.15,13.26,34,10.75,<,8.0,*,-1.16,,48,,0.11,0.13,-5.06,0,1,4230.0,123.0,0.66,,0.11869,,0.9285714285714286,0.033371469090881234
101,102,1-4-3893,07 58 31.27,-61 04 33.80,1.036,19.02,16.24,13.74,21,3.17,,34.6,*,-1.49,0.019,70,-1.83,0.41,0.4,-4.54,1,1,3281.0,157.0,0.501,0.03,0.02638,0.00789,0.23495575221238937,0.033371469090881234
102,103,1-4-3936,07 58 32.59,-60 59 45.95,,16.79,15.02,13.09,38,0.76,<,8.0,,-1.12,,46,,0.52,0.64,-4.36,0,1,3900.0,157.0,0.582,0.021,0.07318,0.01665,0.6,0.033371469090881234
