,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
361,362,2-7-2350,08 02 35.08,-60 37 11.30,0.564,12.049990748440747,17.2,14.68,9,0.44,,25.4,,-1.88,0.014,109,-2.29,0.41,0.34,-4.55,0.31,1,1,0.999884,0.24188595935975674,0.054546516370542725
362,363,2-7-2354,08 02 35.32,-60 40 19.60,4.971,9.189990748440747,15.16,13.3,37,0.06,<,8.0,,-1.13,0.008,46,-0.97,0.33,0.38,-4.6,0.61,1,1,0.998258,0.5418972683082744,0.054546516370542725
363,364,2-7-2368,08 02 36.02,-60 37 55.50,0.542,12.559990748440745,17.59,15.24,8,1.15,,38.2,,-2.01,0.023,128,-2.37,0.29,0.5,-4.71,0.26,1,1,0.999887,0.19535428019799728,0.054546516370542725
364,365,2-7-2526,08 02 40.76,-60 37 36.43,,11.749990748440746,16.85,14.5,12,0.33,,26.0,,-1.73,,92,,0.06,0.03,-5.41,0.37,0,1,0.999712,0.2707167740397581,0.054546516370542725
365,366,2-7-2687,08 02 46.14,-60 37 15.10,1.516,11.899990748440745,17.05,14.72,7,0.07,,12.0,,-1.82,0.024,102,-1.83,0.27,0.24,-4.72,0.34,1,1,0.999826,0.2564415784200618,0.054546516370542725
366,367,2-7-28,08 01 20.29,-60 34 02.70,0.664,10.319990748440746,15.96,13.74,5,2.49,,32.4,,-1.43,0.02,65,-1.99,0.6,0.63,-4.35,0.5,1,1,0.999245,0.429781603766682,0.054546516370542725
367,368,2-7-2821,08 02 51.36,-60 41 02.51,,10.889990748440747,16.23,14.11,21,4.25,<,8.0,*,-1.51,,72,,-0.01,0.0,,0.46,0,1,0.998258,0.36658590069076963,0.054546516370542725
368,369,2-7-2941,08 02 55.15,-60 39 24.50,6.881,8.789990748440745,14.92,13.02,37,0.71,<,8.0,,-1.07,0.036,43,-0.8,0.34,0.41,-4.56,0.64,1,1,0.999245,0.5807311210190735,0.054546516370542725
369,370,2-7-432,08 01 33.39,-60 34 22.24,,7.929990748440746,14.63,12.86,12,1.8,<,8.0,,-0.93,,37,,0.05,0.17,-5.44,0.68,0,1,0.999561,0.6652542386805141,0.054546516370542725
370,371,2-7-495,08 01 36.44,-60 41 05.51,,10.789990748440745,15.94,13.57,27,3.73,<,8.0,*,-1.37,,61,,0.1,0.04,-5.17,0.5,0,1,0.998613,0.37829809954542487,0.054546516370542725
371,372,2-7-533,08 01 37.96,-60 40 51.23,,13.189990748440747,18.12,15.67,6,3.22,,30.7,,-2.22,,161,,0.33,0.25,-4.66,0.2,0,1,0.999994,0.1566507608614817,0.054546516370542725
372,373,2-8-226,08 01 27.59,-60 31 40.97,,8.709990748440747,14.72,13.55,21,43.8,<,8.0,*,-0.96,,38,,-0.08,-0.05,,0.67,0,1,0.999989,0.5882762748956936,0.054546516370542725
373,374,3-1-1124,07 51 39.09,-61 06 40.95,,12.879990748440745,17.94,15.39,6,58.81,<,8.0,*,-2.16,,152,,-0.02,-0.21,,0.22,0,1,0.999994,0.17406764642652317,0.054546516370542725
374,375,3-1-1370,07 51 49.31,-61 13 36.76,,8.699990748440745,14.65,12.62,43,6.92,<,8.0,*,-0.92,,36,,0.15,0.2,-4.96,0.68,0,1,0.997667,0.5896289015366145,0.054546516370542725
375,376,3-1-1526,07 51 54.82,-61 11 54.31,,8.129990748440745,14.66,13.0,42,43.76,<,8.0,*,-0.95,,38,,-0.03,-0.01,,0.68,0,1,0.999937,0.6452518697949498,0.054546516370542725
376,377,3-1-1583,07 51 56.64,-61 09 34.10,0.518,11.019990748440746,16.17,13.89,20,1.28,,41.0,,-1.46,0.014,68,-2.12,0.38,0.46,-4.58,0.47,1,1,0.998258,0.35092805169798363,0.054546516370542725
377,378,3-1-2130,07 52 15.81,-61 09 14.31,,12.579990748440748,17.71,14.98,7,1.46,,11.9,,-2.08,,138,,-0.13,0.0,,0.24,0,1,0.999881,0.19393548774001276,0.054546516370542725
378,379,3-1-2177,07 52 17.37,-61 05 48.91,,12.859990748440746,17.81,15.05,6,26.76,<,8.0,*,-2.09,,140,,-0.04,-0.11,,0.23,0,1,0.999938,0.17540165266470717,0.054546516370542725
379,380,3-1-2182,07 52 17.97,-61 10 51.80,0.737,12.809990748440745,17.78,15.03,6,0.05,,28.8,,-2.08,0.014,139,-2.27,0.05,0.34,-5.51,0.23,1,1,0.999939,0.1788835235002564,0.054546516370542725
380,381,3-1-2230,07 52 20.76,-61 14 36.40,0.975,12.119990748440747,17.25,14.99,10,0.54,,15.8,,-1.89,0.03,111,-2.06,0.25,0.29,-4.76,0.3,1,1,0.99968,0.23519565965543038,0.054546516370542725
381,382,3-1-2445,07 52 28.65,-61 06 03.50,2.904,11.299990748440747,16.51,14.31,18,0.87,,9.9,,-1.61,0.013,81,-1.44,0.39,0.36,-4.56,0.42,1,1,0.998258,0.3173142239737823,0.054546516370542725
382,383,3-1-2585,07 52 32.38,-61 12 56.70,,9.109990748440746,15.08,13.05,36,3.06,,63.4,,-1.09,,44,,0.58,0.75,-4.36,0.62,0,1,0.996487,0.550069796622539,0.054546516370542725
383,384,3-1-2640,07 52 35.71,-61 08 42.32,,12.519990748440746,17.47,15.06,10,3.38,,50.9,,-1.95,,119,,0.46,0.48,-4.52,0.27,0,1,0.999956,0.19792704647142484,0.054546516370542725
384,385,3-1-2700,07 52 37.25,-61 06 48.11,,8.369990748440747,14.76,13.0,45,82.56,<,8.0,*,-1.0,,40,,-0.13,-0.15,,0.66,0,1,0.999995,0.6213070247968981,0.054546516370542725
385,386,3-1-2703,07 52 37.65,-61 08 34.23,,11.619990748440747,16.59,14.06,16,0.31,,28.1,,-1.61,,80,,0.17,0.26,-4.96,0.41,0,1,0.999712,0.2829201936119049,0.054546516370542725
386,387,3-1-2708,07 52 37.75,-61 05 53.02,,13.509990748440748,18.28,,5,1.04,,15.2,,-2.26,,169,,0.23,0.29,-4.84,0.18,0,1,0.999991,0.14195334289428904,0.054546516370542725
387,388,3-1-2816,07 52 42.12,-61 11 30.28,,10.689990748440747,16.19,13.94,19,22.86,<,8.0,*,-1.51,,71,,0.03,-0.05,-5.63,0.47,0,1,0.997667,0.3907364970816843,0.054546516370542725
388,389,3-1-288,07 51 10.75,-61 08 35.10,1.03,10.499990748440746,15.84,13.64,19,9.84,,48.1,*,-1.36,0.015,60,-1.77,0.55,0.6,-4.4,0.51,1,1,0.996487,0.41147099811677607,0.054546516370542725
389,390,3-1-3066,07 52 50.01,-61 11 27.67,,11.409990748440746,16.57,14.3,16,17.3,,8.2,*,-1.63,,82,,0.06,0.05,-5.36,0.41,0,1,0.999245,0.3039217699405893,0.054546516370542725
390,391,3-1-3103,07 52 51.98,-61 12 56.01,,11.119990748440747,16.57,14.28,16,3.08,<,8.0,*,-1.66,,85,,-0.04,-0.03,,0.41,0,1,0.999488,0.33864725530436024,0.054546516370542725
391,392,3-1-3373,07 53 00.35,-61 06 55.39,,12.459990748440747,17.36,15.15,10,15.94,,14.5,*,-1.9,,113,,0.17,0.25,-4.96,0.29,0,1,0.999947,0.20296193373658872,0.054546516370542725
392,393,3-1-3604,07 53 07.23,-61 06 46.10,11.35,10.459990748440747,15.69,13.45,29,15.36,<,8.0,*,-1.29,0.006,55,-0.69,0.15,0.13,-4.96,0.54,1,1,0.998613,0.4155801974234068,0.054546516370542725
393,394,3-1-3674,07 53 10.29,-61 13 07.22,,13.069990748440746,17.76,15.12,8,2.39,,35.9,,-2.04,,132,,0.33,0.25,-4.69,0.24,0,1,0.999983,0.16318872505854154,0.054546516370542725
394,395,3-1-3691,07 53 10.79,-61 10 49.16,,11.989990748440748,17.14,14.72,10,12.92,,16.2,*,-1.85,,106,,-0.03,-0.08,,0.32,0,1,0.997266,0.24759933596955852,0.054546516370542725
395,396,3-1-3911,07 53 17.55,-61 08 18.99,,12.399990748440745,17.37,15.02,10,18.35,,13.1,*,-1.92,,115,,0.1,0.15,-5.18,0.29,0,1,0.999972,0.20870731974827383,0.054546516370542725
396,397,3-1-3934,07 53 18.45,-61 10 59.93,,9.009990748440748,15.14,13.36,29,29.37,<,8.0,*,-1.16,,48,,-0.02,-0.01,,0.61,0,1,0.999904,0.5591629308929351,0.054546516370542725
397,398,3-1-3941,07 53 18.85,-61 07 42.70,0.667,11.419990748440748,16.63,14.37,17,0.71,,27.1,,-1.66,0.029,85,-2.11,0.27,0.36,-4.73,0.4,1,1,0.999527,0.3025441000331882,0.054546516370542725
398,399,3-1-3950,07 53 19.44,-61 12 39.23,,12.179990748440746,17.06,14.49,13,0.2,,27.0,,-1.78,,98,,0.24,0.23,-4.81,0.34,0,1,0.999965,0.22966165063543353,0.054546516370542725
399,400,3-1-4095,07 53 24.37,-61 10 14.70,,10.719990748440745,16.13,13.78,22,0.03,,22.7,,-1.48,,69,,0.65,0.57,-4.32,0.47,0,1,0.99885,0.3869517235236303,0.054546516370542725
400,401,3-1-4112,07 53 24.90,-61 08 19.07,,12.339990748440746,17.22,14.73,11,23.48,<,8.0,*,-1.85,,105,,0.17,0.21,-4.95,0.31,0,1,0.99989,0.21429077960521278,0.054546516370542725
401,402,3-1-4161,07 53 26.90,-61 09 27.90,0.689,13.049990748440747,17.94,15.57,5,22.59,,23.3,*,-2.14,0.02,147,-2.33,0.07,0.18,-5.37,0.22,1,1,0.999968,0.16413924853794612,0.054546516370542725
402,403,3-1-4200,07 53 28.35,-61 10 13.70,,11.969990748440745,17.24,15.16,7,40.4,<,8.0,*,-1.91,,113,,0.03,-0.02,-5.7,0.31,0,1,0.999826,0.24950846014554326,0.054546516370542725
403,404,3-1-4252,07 53 30.83,-61 10 52.21,,13.059990748440745,17.56,15.42,6,31.12,,15.8,*,-1.93,,116,,-0.22,-0.24,,0.26,0,1,0.99885,0.16363614581786531,0.054546516370542725
404,405,3-1-719,07 51 25.82,-61 08 26.79,,12.059990748440745,17.14,14.71,9,13.26,,19.1,*,-1.84,,105,,0.08,-0.05,-5.29,0.32,0,1,0.999862,0.24113755314686625,0.054546516370542725
405,406,3-1-872,07 51 30.80,-61 10 16.94,,13.239990748440748,18.0,15.44,7,1.57,<,8.0,,-2.14,,148,,0.05,-0.08,-5.51,0.21,0,1,0.999994,0.1539425680357965,0.054546516370542725
406,407,3-1-892,07 51 30.99,-61 07 22.06,,12.259990748440748,17.44,14.91,8,40.36,<,8.0,*,-1.98,,122,,0.02,-0.02,-5.88,0.28,0,1,0.999932,0.2220631942963724,0.054546516370542725
407,408,3-2-1169,07 51 41.23,-61 04 53.16,,10.139990748440747,15.76,13.63,26,11.79,,9.1,*,-1.35,,59,,0.07,0.05,-5.31,0.53,0,1,0.999389,0.44795929109192173,0.054546516370542725
408,409,3-2-1409,07 51 48.44,-60 58 53.69,,11.459990748440747,16.83,14.46,12,35.39,<,8.0,*,-1.76,,95,,-0.05,-0.07,,0.37,0,1,0.999324,0.29844799307093245,0.054546516370542725
409,410,3-2-1428,07 51 49.37,-61 05 21.39,,12.289990748440745,17.22,14.54,11,2.77,,29.4,,-1.85,,106,,0.26,0.22,-4.76,0.31,0,1,0.999913,0.21920571788218599,0.054546516370542725
410,411,3-2-1709,07 51 58.89,-60 59 18.55,,12.519990748440746,17.58,15.26,8,11.37,<,8.0,*,-2.01,,128,,0.03,0.06,-5.66,0.26,0,1,0.999971,0.19792704647142484,0.054546516370542725
411,412,3-2-1754,07 52 00.72,-61 02 25.60,1.054,11.529990748440747,16.83,14.57,14,0.73,,27.5,,-1.75,0.024,95,-1.95,0.34,0.39,-4.61,0.37,1,1,0.999146,0.29167785715294914,0.054546516370542725
412,413,3-2-1798,07 52 02.01,-61 05 08.92,,9.959990748440747,15.39,13.22,32,19.62,<,8.0,*,-1.19,,49,,0.06,0.02,-5.33,0.58,0,2,1e-06,0.465865965824983,0.054546516370542725
413,414,3-2-1830,07 52 03.54,-61 02 04.31,,12.679990748440746,17.66,15.44,8,2.65,,33.8,,-2.03,,131,,0.21,0.53,-4.85,0.25,0,1,0.999901,0.1874644358795218,0.054546516370542725
414,415,3-2-1895,07 52 05.22,-60 59 27.54,,13.069990748440746,17.87,15.06,5,0.49,<,8.0,,-2.1,,141,,0.14,0.09,-5.04,0.22,0,1,0.999973,0.16318872505854154,0.054546516370542725
415,416,3-2-2145,07 52 13.76,-61 01 27.25,,12.519990748440746,17.55,14.58,8,0.75,,37.8,,-2.0,,126,,0.48,0.36,-4.49,0.26,0,1,0.999944,0.19792704647142484,0.054546516370542725
416,417,3-2-2387,07 52 22.35,-60 58 44.62,,11.539990748440745,16.76,14.57,14,5.4,<,8.0,*,-1.71,,90,,-0.12,-0.05,,0.38,0,1,0.999019,0.2908325352178944,0.054546516370542725
417,418,3-2-2514,07 52 28.06,-61 04 14.31,,13.199990748440745,18.04,15.63,6,1.69,,29.1,,-2.17,,153,,0.2,0.36,-4.89,0.2,0,1,0.999983,0.15621174086141734,0.054546516370542725
418,419,3-2-2625,07 52 30.16,-60 56 26.03,,8.199990748440745,14.21,13.2,59,29.65,<,8.0,*,-0.76,,30,,-0.01,-0.02,,0.74,0,1,0.999992,0.6385824987489769,0.054546516370542725
419,420,3-2-2921,07 52 41.65,-61 05 16.20,,11.649990748440745,16.76,14.55,14,12.72,<,8.0,*,-1.7,,89,,0.14,0.01,-5.01,0.38,0,1,0.999617,0.2800498361197155,0.054546516370542725
420,421,3-2-3091,07 52 48.14,-61 02 25.56,,11.389990748440747,16.71,14.49,16,26.36,<,8.0,*,-1.7,,90,,0.02,-0.05,-5.78,0.39,0,1,0.99964,0.30627817637505383,0.054546516370542725
421,422,3-2-3142,07 52 50.19,-61 00 03.00,13.612,9.369990748440747,15.26,13.32,31,0.81,<,8.0,,-1.16,0.01,48,-0.55,0.13,0.18,-5.0,0.6,1,1,0.999697,0.525016338030411,0.054546516370542725
422,423,3-2-3348,07 52 58.44,-61 03 56.97,,10.909990748440746,16.21,13.9,20,21.25,<,8.0,*,-1.5,,71,,-0.02,-0.01,,0.46,0,1,0.998613,0.36390292582803885,0.054546516370542725
423,424,3-2-3359,07 52 58.88,-61 03 42.60,,8.369990748440747,14.58,12.77,50,25.6,<,8.0,*,-0.94,,37,,0.0,0.05,-6.6,0.69,0,1,0.999884,0.6213070247968981,0.054546516370542725
424,425,3-2-3733,07 53 12.88,-61 04 02.40,1.452,11.899990748440745,17.07,14.55,12,0.28,,25.2,,-1.83,0.013,103,-1.85,0.28,0.29,-4.7,0.33,1,1,0.999739,0.2564415784200618,0.054546516370542725
425,426,3-2-3869,07 53 18.51,-61 04 05.44,,12.059990748440745,17.31,15.28,11,24.43,,21.5,*,-1.93,,117,,0.05,-0.04,-5.44,0.3,0,1,0.999838,0.24113755314686625,0.054546516370542725
426,427,3-2-3925,07 53 21.07,-60 58 13.00,2.515,9.749990748440746,15.56,13.35,30,0.18,<,8.0,,-1.28,0.005,55,-1.34,0.76,0.79,-4.24,0.55,1,1,0.99885,0.48758553719203696,0.054546516370542725
427,428,3-2-3930,07 53 21.64,-61 02 13.00,2.342,10.219990748440745,15.82,13.68,26,0.21,<,8.0,,-1.37,0.008,61,-1.41,0.53,0.68,-4.41,0.52,1,1,0.998258,0.43990558254738865,0.054546516370542725
428,429,3-2-3954,07 53 23.14,-61 02 42.92,,8.469990748440745,14.37,12.34,55,0.37,<,8.0,,-0.81,,32,,0.47,0.58,-4.45,0.71,0,1,0.996487,0.6115310719734247,0.054546516370542725
429,430,3-2-4043,07 53 27.74,-61 00 58.91,,11.549990748440747,16.78,14.49,15,0.57,,21.0,,-1.72,,91,,0.45,0.43,-4.49,0.38,0,1,0.999906,0.28958586534708125,0.054546516370542725
430,431,3-2-588,07 51 20.90,-61 05 08.30,0.807,12.459990748440747,17.47,14.9,8,1.31,,25.5,,-1.96,0.032,121,-2.17,0.4,0.58,-4.57,0.27,1,1,0.999966,0.20296193373658872,0.054546516370542725
431,432,3-2-795,07 51 27.14,-61 04 49.57,,7.999990748440746,14.43,13.48,43,20.2,<,8.0,*,-0.87,,34,,0.0,0.01,-6.5,0.71,0,1,0.999986,0.6583875473596498,0.054546516370542725
432,433,3-3-1908,07 52 03.92,-60 55 36.70,0.707,12.759990748440748,17.71,15.82,7,0.33,,28.9,,-2.05,0.02,134,-2.28,0.25,0.31,-4.78,0.24,1,1,0.999962,0.18219035049954527,0.054546516370542725
433,434,3-3-2514,07 52 25.85,-60 55 24.41,,9.889990748440747,15.72,13.69,26,18.25,<,8.0,*,-1.34,,59,,0.11,0.05,-5.08,0.53,0,1,0.999832,0.47299473286931415,0.054546516370542725
434,435,3-3-2975,07 52 39.38,-60 55 40.60,,9.189990748440747,15.19,13.28,34,23.05,<,8.0,*,-1.15,,47,,0.04,0.03,-5.57,0.61,0,1,0.999726,0.5418972683082744,0.054546516370542725
435,436,3-3-3266,07 52 49.28,-60 55 06.64,,13.109990748440746,18.03,15.33,6,0.9,<,8.0,,-2.18,,154,,0.25,0.18,-4.79,0.21,0,1,0.999989,0.16107522378590178,0.054546516370542725
436,437,3-3-3323,07 52 50.72,-60 54 17.60,0.29,9.989990748440748,15.65,13.54,24,3.09,,79.5,,-1.3,0.014,57,-2.29,0.52,0.59,-4.41,0.54,1,1,0.998258,0.46318128673289766,0.054546516370542725
437,438,3-3-3637,07 53 00.56,-60 48 09.40,11.614,9.739990748440748,15.49,13.32,32,0.01,<,8.0,,-1.25,0.006,53,-0.66,0.2,0.21,-4.83,0.56,1,1,0.998258,0.48869598374404544,0.054546516370542725
438,439,3-3-3724,07 53 02.58,-60 50 25.90,0.328,8.539990748440745,14.79,12.81,40,0.68,,95.9,,-1.02,0.045,41,-2.1,0.53,0.74,-4.35,0.66,1,1,0.997667,0.605069523407578,0.054546516370542725
439,440,3-3-3858,07 53 05.00,-60 51 57.54,,13.089990748440746,17.79,15.01,7,2.42,,11.2,,-2.05,,134,,0.32,0.28,-4.7,0.23,0,1,0.999983,0.16200169632052686,0.054546516370542725
440,441,3-3-4100,07 53 15.49,-60 48 21.09,,7.869990748440747,14.18,12.53,53,106.3,<,8.0,*,-0.78,,31,,0.03,0.0,-5.62,0.74,0,1,0.992964,0.6706610922432011,0.054546516370542725
441,442,3-4-3738,07 53 10.31,-60 46 39.90,2.205,10.559990748440745,16.03,13.74,23,0.72,,9.4,,-1.44,0.017,66,-1.48,0.4,0.51,-4.53,0.49,1,1,0.998613,0.4052638028548657,0.054546516370542725
442,443,3-4-3791,07 53 11.78,-60 41 38.90,4.578,10.039990748440745,15.74,13.79,23,1.1,<,8.0,,-1.34,0.013,59,-1.11,0.35,0.5,-4.58,0.53,1,1,0.996487,0.4582375194101277,0.054546516370542725
443,444,3-4-4335,07 53 29.35,-60 42 59.07,,11.759990748440748,16.92,14.64,14,5.99,<,8.0,*,-1.77,,96,,0.08,0.0,-5.26,0.36,0,1,0.99964,0.2695422537532282,0.054546516370542725
444,445,3-5-1009,07 54 10.61,-61 07 35.00,0.78,12.669990748440748,17.61,15.18,8,0.69,,10.7,,-2.01,0.026,127,-2.21,0.3,0.23,-4.71,0.25,1,1,0.99997,0.18799757471343922,0.054546516370542725
445,446,3-5-1035,07 54 11.48,-61 07 44.45,,11.489990748440748,16.67,14.11,16,1.03,,61.6,,-1.67,,86,,0.39,0.51,-4.56,0.4,0,1,0.999751,0.29545259031158916,0.054546516370542725
446,447,3-5-1300,07 54 20.18,-61 06 26.50,2.977,11.259990748440748,16.51,14.27,17,1.42,<,8.0,,-1.62,0.009,81,-1.44,0.34,0.37,-4.62,0.42,1,1,0.999591,0.3217825922204149,0.054546516370542725
447,448,3-5-1317,07 54 20.89,-61 06 12.23,,8.569990748440746,14.94,13.08,41,56.02,<,8.0,*,-1.08,,43,,-0.19,-0.18,,0.64,0,1,0.999996,0.6020020871186798,0.054546516370542725
448,449,3-5-1999,07 54 44.79,-61 07 55.22,,10.839990748440746,16.37,14.16,17,15.31,,8.8,*,-1.58,,78,,0.01,0.0,-6.0,0.44,0,1,0.999887,0.37236395967869046,0.054546516370542725
449,450,3-5-2009,07 54 45.90,-61 09 55.10,,12.919990748440748,17.96,15.08,7,30.32,<,8.0,*,-2.17,,153,,0.01,-0.03,-6.39,0.21,0,1,0.999978,0.17141273032132504,0.054546516370542725
450,451,3-5-2482,07 55 02.38,-61 10 37.60,2.911,10.259990748440748,15.75,13.5,29,1.02,,8.9,,-1.33,0.011,58,-1.3,0.5,0.53,-4.43,0.53,1,1,0.996487,0.43553886837883865,0.054546516370542725
451,452,3-5-2531,07 55 03.96,-61 05 52.93,,8.489990748440748,14.29,12.42,64,59.58,<,8.0,*,-0.77,,31,,-0.02,-0.02,,0.73,0,1,0.999324,0.6097911591806464,0.054546516370542725
452,453,3-5-2593,07 55 06.68,-61 07 13.30,6.372,10.289990748440745,15.91,13.74,26,0.87,<,8.0,,-1.41,0.005,64,-1.0,0.18,0.2,-4.88,0.5,1,1,0.997667,0.43238571813896387,0.054546516370542725
453,454,3-5-2773,07 55 12.88,-61 09 39.97,,11.679990748440746,16.9,14.82,15,16.82,<,8.0,*,-1.77,,96,,0.03,-0.01,-5.69,0.36,0,1,0.999697,0.27718707541193705,0.054546516370542725
454,455,3-5-2861,07 55 16.41,-61 13 37.10,8.634,9.529990748440747,15.38,13.43,37,0.49,<,8.0,,-1.21,0.012,51,-0.77,0.34,0.42,-4.59,0.58,1,1,0.999712,0.5093879348519793,0.054546516370542725
455,456,3-5-2879,07 55 17.64,-61 14 18.52,,12.769990748440746,17.65,15.2,10,0.51,,19.0,,-2.02,,128,,0.2,0.21,-4.88,0.25,0,1,0.999994,0.18136339888488837,0.054546516370542725
456,457,3-5-3013,07 55 22.13,-61 09 23.15,,7.839990748440746,14.48,12.78,61,1.24,<,8.0,,-0.87,,34,,0.18,0.25,-4.86,0.7,0,1,0.999739,0.6740007839419023,0.054546516370542725
457,458,3-5-3184,07 55 28.15,-61 10 29.50,3.537,10.769990748440746,16.18,13.95,25,0.16,<,8.0,,-1.5,0.007,71,-1.3,0.47,0.5,-4.46,0.47,1,1,0.999019,0.3810061798943133,0.054546516370542725
458,459,3-5-3200,07 55 28.89,-61 13 34.90,4.968,10.849990748440748,16.26,14.07,24,1.39,<,8.0,,-1.53,0.006,73,-1.17,0.5,0.52,-4.44,0.46,1,1,0.999146,0.37135408368068606,0.054546516370542725
459,460,3-5-3259,07 55 31.05,-61 10 42.70,,10.699990748440745,16.13,13.81,24,0.12,,11.2,,-1.48,,69,,0.48,0.5,-4.45,0.47,0,1,0.992964,0.3891238204290246,0.054546516370542725
460,461,3-5-3333,07 55 34.53,-61 10 01.51,,11.669990748440748,16.69,14.26,19,22.12,<,8.0,*,-1.66,,85,,0.06,-0.05,-5.42,0.39,0,1,0.99987,0.278411818612557,0.054546516370542725
461,462,3-5-3341,07 55 34.48,-61 11 52.87,,8.729990748440747,14.93,12.96,49,1.27,<,8.0,,-1.08,,44,,0.29,0.35,-4.61,0.64,0,1,0.999527,0.5866722958807536,0.054546516370542725
462,463,3-5-3354,07 55 35.48,-61 06 49.04,,13.919990748440748,18.38,15.33,5,0.62,,52.2,,-2.25,,168,,0.11,0.13,-5.18,0.17,0,1,0.999991,0.1271150296221427,0.054546516370542725
463,464,3-5-3418,07 55 38.45,-61 13 47.51,,13.149990748440745,18.05,15.44,6,30.38,,23.1,*,-2.18,,155,,-0.14,-0.01,,0.2,0,1,0.999965,0.15894675247201595,0.054546516370542725
464,465,3-5-366,07 53 46.86,-61 13 50.02,,12.889990748440747,17.61,14.85,7,2.01,,36.8,,-1.98,,123,,0.17,0.31,-4.97,0.25,0,1,0.999993,0.17354688105599078,0.054546516370542725
465,466,3-5-3702,07 55 47.46,-61 07 25.88,,12.259990748440748,17.03,14.43,15,18.38,,10.9,*,-1.75,,95,,1.24,1.47,-4.11,0.34,0,1,0.999979,0.2220631942963724,0.054546516370542725
466,467,3-5-3764,07 55 51.98,-61 13 21.10,1.216,8.899990748440745,15.07,13.04,39,0.39,,24.0,,-1.14,0.049,47,-1.58,0.53,0.64,-4.35,0.62,1,1,0.999245,0.5702931356242382,0.054546516370542725
467,468,3-5-399,07 53 47.82,-61 11 59.85,,12.079990748440748,17.08,14.53,11,50.54,<,8.0,*,-1.81,,101,,-0.01,-0.06,,0.33,0,2,,0.23925119713958665,0.054546516370542725
468,469,3-5-3994,07 56 01.95,-61 09 02.24,,10.359990748440746,15.73,13.51,33,0.15,,27.7,,-1.32,,57,,0.46,0.53,-4.48,0.53,0,1,0.997667,0.4255455573352563,0.054546516370542725
469,470,3-5-453,07 53 49.50,-61 11 39.42,,8.259990748440748,14.64,12.59,43,1.65,,49.4,,-0.96,,38,,0.54,0.67,-4.36,0.68,0,1,0.999488,0.6322321002483733,0.054546516370542725
470,471,3-5-454,07 53 49.61,-61 10 45.42,,12.699990748440745,17.62,15.07,7,0.23,,24.7,,-2.01,,127,,0.21,0.21,-4.85,0.25,0,1,0.999966,0.18604968283686804,0.054546516370542725
471,472,3-5-517,07 53 52.06,-61 11 47.20,,10.279990748440747,15.57,13.19,29,2.12,,19.3,*,-1.25,,53,,0.41,0.42,-4.53,0.55,0,2,1e-06,0.433421635905108,0.054546516370542725
472,473,3-5-679,07 53 57.06,-61 06 13.50,1.747,11.099990748440748,16.37,14.02,18,1.18,,13.0,,-1.56,0.023,76,-1.64,0.56,0.5,-4.4,0.44,1,1,0.998613,0.3411780693255889,0.054546516370542725
473,474,3-5-767,07 54 00.76,-61 06 26.40,1.685,11.139990748440747,16.46,14.08,17,1.9,,17.3,,-1.61,0.016,80,-1.68,0.34,0.39,-4.61,0.43,1,1,0.998613,0.33657728362206407,0.054546516370542725
474,475,3-5-778,07 54 01.53,-61 08 36.04,,12.419990748440748,17.41,15.01,7,3.82,,41.8,,-1.94,,117,,0.41,0.32,-4.57,0.28,0,1,0.999896,0.20671205169924184,0.054546516370542725
475,476,3-5-854,07 54 04.22,-61 10 10.84,,10.789990748440745,16.26,14.04,21,0.8,<,8.0,,-1.53,,74,,0.22,0.21,-4.8,0.46,0,1,0.999442,0.37829809954542487,0.054546516370542725
476,477,3-5-998,07 54 09.43,-61 07 55.50,,8.129990748440745,14.63,12.84,49,0.64,<,8.0,,-0.94,,37,,0.15,0.22,-4.93,0.68,0,1,0.999853,0.6452518697949498,0.054546516370542725
477,478,3-6-1162,07 54 12.66,-61 01 53.10,0.282,12.589990748440746,17.56,15.14,8,0.09,,52.3,,-1.99,0.021,125,-2.65,0.14,0.26,-5.04,0.26,1,1,0.999924,0.19335734618585815,0.054546516370542725
478,479,3-6-1200,07 54 13.25,-60 57 12.10,5.808,10.309990748440745,15.89,13.6,26,0.78,<,8.0,,-1.39,0.009,63,-1.03,0.44,0.49,-4.49,0.51,1,1,0.99885,0.43081496843868655,0.054546516370542725
479,480,3-6-1277,07 54 16.55,-60 59 51.74,,11.079990748440748,16.44,14.12,16,0.84,,28.4,,-1.6,,80,,0.48,0.5,-4.46,0.43,0,1,0.998613,0.34374824811427446,0.054546516370542725
480,481,3-6-1367,07 54 19.25,-60 57 13.38,,10.609990748440746,16.22,13.82,21,14.46,<,8.0,*,-1.53,,73,,0.04,0.01,-5.55,0.46,0,1,0.910599,0.40009544061998087,0.054546516370542725
481,482,3-6-1424,07 54 21.18,-60 58 13.10,0.418,10.249990748440746,15.86,13.6,26,0.52,,34.4,,-1.39,0.016,62,-2.17,0.64,0.69,-4.32,0.51,1,1,0.998613,0.4366288356024593,0.054546516370542725
482,483,3-6-2189,07 54 47.52,-60 57 59.00,1.915,9.009990748440748,14.97,12.9,41,1.05,,16.5,,-1.05,0.028,42,-1.34,0.47,0.56,-4.44,0.64,1,1,0.998613,0.5591629308929351,0.054546516370542725
