recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,S18_Mass,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e
194,204518814,16 02 34.17,-22 00 35.7,,11.75,,7.24,0.86,11.64,6.38,0.4513,,,,"USco,bronze",no,Simbad,1,0.999999,18.880001,11.246590238465814,,,-1.878440165947746,0.134,0.476,0.023,,0.013866982803217402,,0.0
197,204317053,16 02 41.41,-22 48 42.1,,11.99,,7.14,1.06,11.86,6.08,1.5945,,,,"USco,gold",yes,Simbad,1,0.999998,19.0,11.274943238465816,,,-1.9759250157415835,0.181,0.397,0.022,,0.013866982803217402,,0.0
200,205078547,16 02 45.44,-19 30 38.1,,11.14,,6.44,0.52,11.07,5.93,0.7863,,,,"USco,gold",no,Simbad,1,0.999999,17.51,10.249178238465817,,,-1.70202076856204,0.212,0.549,0.025,,0.013866982803217402,0.13461620465063168,0.009083756291806893
201,204248645,16 02 45.73,-23 04 51.3,,11.5,,6.51,0.5,11.44,6.01,0.2621,0.3861,,,"USco,silver",yes,Simbad,1,0.999999,17.95,10.538159238465816,,,-2.072116601573171,0.193,0.346,0.022,,0.013866982803217402,0.11478217365228015,0.009083756291806893
204,203846183,16 02 57.42,-24 42 41.8,,11.4,,5.89,0.23,11.37,5.65,1.575,,,,"USco,bronze",no,Simbad,1,0.999977,17.26,10.098180238465815,3324.6,0.9376,-1.673254611004964,0.29,0.517,0.022,0.20457142857142854,0.013866982803217402,0.1469579454598848,0.009083756291806893
207,204489514,16 03 01.60,-22 07 52.7,,11.73,,6.91,0.62,11.65,6.29,1.7049,,,,"USco,gold",yes,Simbad,1,0.999998,18.56,10.820256238465817,,,-1.8635965391782927,0.147,0.45,0.022,,0.013866982803217402,,0.0
210,203348744,16 03 02.35,-26 26 16.6,,12.15,,6.93,1.21,12.0,5.72,4.1674,,,,"USco,bronze",,Simbad,1,0.999991,18.93,11.296637238465816,,,-1.890759026902888,0.27,0.407,0.024,,0.013866982803217402,,0.0
211,204376053,16 03 14.89,-22 34 45.9,,10.7,,6.46,0.41,10.65,6.05,1.5654,2.0296,,,"USco,gold",no,Simbad,1,0.999997,17.11,9.692516238465815,,,-1.5683146565785877,0.186,0.611,0.021,,0.013866982803217402,0.18506460990392543,0.009083756291806893
212,204360645,16 03 22.76,-22 38 21.0,,11.17,,6.16,0.4,11.12,5.76,1.9005,,,,"USco,bronze",yes,Simbad,1,0.999995,17.279999,10.000481238465817,3419.2,1.1353,-1.6817279072994198,0.257,0.526,0.021,0.24961904761904752,0.013866982803217402,0.15511172461565365,0.009083756291806893
215,204852633,16 03 24.35,-20 34 13.2,,12.34,,7.13,0.69,12.25,6.43,0.3454,,,,"USco,bronze",no,Simbad,1,0.999999,19.380001,11.595517238465815,,,-2.003926364935732,0.127,0.4,0.023,,0.013866982803217402,,0.0
216,203341895,16 03 25.98,-26 27 32.2,,10.77,,5.88,0.22,10.74,5.65,0.8336,,,,"USco,gold",no,Simbad,1,0.999893,16.619999,9.450233238465817,3422.4,0.911,-1.4266641803578513,0.289,0.637,0.022,0.25114285714285717,0.013866982803217402,0.21549124204354136,0.009083756291806893
217,204538777,16 03 26.25,-21 55 38.1,,11.6,,6.52,0.91,11.48,5.61,1.4806,,,,"USco,gold",yes,Simbad,1,0.999994,18.0,10.589219238465816,,,-1.7872798596513086,0.303,0.476,0.021,,0.013866982803217402,0.11153152813352306,0.009083756291806893
219,205200173,16 03 28.71,-18 53 51.9,,10.12,,5.88,0.25,10.09,5.63,7.5153,,,,"USco,bronze",no,Simbad,1,0.996487,15.97,8.792739238465815,3508.9,0.9786,-0.9107309162527348,0.297,0.455,,0.29233333333333333,0.013866982803217402,0.311243831355632,0.009083756291806893
220,204993463,16 03 29.40,-19 55 03.9,,11.03,,5.9,0.34,10.99,5.56,0.8547,1.1069,,,"USco,gold",no,Simbad,1,0.999948,16.89,9.737102238465816,3467.8,1.1827,-1.5325398783085091,0.32,0.588,0.021,0.27276190476190487,0.013866982803217402,0.179936170527039,0.009083756291806893
235,204599787,16 03 51.75,-21 40 15.7,,10.55,,6.56,0.54,10.48,6.02,1.0318,0.8194,0.6002,,"USco,silver",no,Simbad,1,0.999793,17.039999,9.669594238465816,,,,0.191,,,,0.013866982803217402,0.1875175748317934,0.009083756291806893
236,203723257,16 03 54.03,-25 09 39.7,,11.38,,5.85,0.0,11.38,5.85,1.461,,,,"USco,gold",maybe,Simbad,1,0.999981,17.23,10.060180238465817,3416.1,0.9485,-1.7004927125085394,0.233,0.506,0.022,0.2481428571428571,0.013866982803217402,0.15023445921017578,0.009083756291806893
244,204376071,16 04 10.11,-22 34 45.7,,11.55,,6.38,0.19,11.53,6.19,1.6268,,,,"USco,bronze",no,Simbad,1,0.999998,17.91,10.463608238465817,,,-1.8227521646307645,0.161,0.456,0.022,,0.013866982803217402,0.11963728190571005,0.009083756291806893
245,203920102,16 04 14.73,-24 24 43.6,,11.68,,6.13,0.17,11.66,5.96,1.6063,,,,"USco,bronze",no,Simbad,1,0.999995,17.79,10.471041238465816,,,-1.766242623932835,0.204,0.482,0.022,,0.013866982803217402,0.11925782875328912,0.009083756291806893
265,204871862,16 07 01.69,-20 28 58.2,,12.32,,7.01,0.7,12.23,6.31,1.6489,,,,"USco,gold",yes,Simbad,1,0.999999,19.24,11.762440238465814,,,-2.0419141408736503,0.144,0.37,0.025,,0.013866982803217402,,0.0
269,204919503,16 07 04.73,-20 15 56.0,,11.46,,6.18,0.52,11.39,5.65,3.1147,,,,"USco,gold",no,Simbad,1,0.999988,17.57,10.285598238465814,3378.6,1.1176,-1.6669559602333193,0.29,0.522,0.021,0.23028571428571426,0.013866982803217402,0.1317594508121876,0.009083756291806893
281,204933717,16 07 22.39,-20 11 58.5,,11.59,,6.75,1.14,11.44,5.61,1.5522,,,,"USco,gold",yes,Simbad,1,0.999999,18.189999,10.851466238465814,3178.5,1.2502,-1.8127613715314552,0.304,0.497,0.022,0.15694006309148267,0.013866982803217402,,0.0
285,204583750,16 07 26.41,-21 44 16.9,,13.68,,7.07,0.62,13.6,6.44,1.5372,,,,"USco,silver",no,Simbad,1,0.999999,20.67,13.053210238465816,2862.7,0.8134,-2.552841984143137,0.125,0.187,0.022,0.1,0.013866982803217402,,0.0
286,204757338,16 07 27.46,-20 59 44.4,,10.22,,6.48,0.73,10.13,5.75,2.2977,1.0586,,,"USco,silver",yes,Simbad,1,0.999964,16.61,9.830838238465816,,,,0.261,,,,0.013866982803217402,0.1695849413507326,0.009083756291806893
287,204909952,16 07 27.53,-20 18 34.8,,11.44,,7.09,1.07,11.3,6.02,0.6305,0.5628,,,"USco,gold",no,Simbad,1,0.999999,18.39,10.844296238465816,,,-1.82044821897006,0.191,0.506,0.022,,0.013866982803217402,,0.0
290,204878461,16 07 35.55,-20 27 13.7,,11.96,,6.32,0.5,11.9,5.82,1.8261,,,,"USco,gold",no,Simbad,1,0.999998,18.22,10.966568238465817,3316.3,1.1563,-1.825940203986945,0.241,0.46,0.022,0.20061904761904772,0.013866982803217402,,0.0
292,205063210,16 07 39.15,-19 35 04.3,,11.31,,6.51,0.45,11.25,6.07,2.4332,,,,"USco,bronze",yes,Simbad,1,0.999997,17.76,10.309414238465816,,,-1.7698066113646769,0.183,0.496,0.021,,0.013866982803217402,0.12982786930236745,0.009083756291806893
296,204426231,16 07 45.21,-22 22 57.7,,11.52,,6.38,0.4,11.47,5.98,2.2514,2.0986,,,"USco,gold",no,Simbad,1,0.999998,17.85,10.435433238465816,,,-1.8141746293171583,0.201,0.471,0.025,,0.013866982803217402,0.12148429194664627,0.009083756291806893
