recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
200,Par 1701,7.67,0.001,7.31,0.002,7.12,0.002,6.64,0.003,10.46,,,,Parenago 1701,05 35 03.3,-04 49 21.0,1,12.606713,,
201,Par 1725,9.39,0.005,9.15,0.003,8.9,0.029,8.09,0.072,4.44,M1.5,H97,H,Parenago 1725,05 35 03.9,-05 29 03.4,1,13.944856,3.3229,10.621956
202,JW 237,10.81,0.006,10.38,0.006,10.12,0.033,9.29,0.078,5.22,M4,H97,L,JW 237,05 35 04.0,-05 18 59.8,1,16.917917,,
203,R01- 1681,11.51,0.005,11.39,0.007,11.38,0.028,11.65,0.167,18.51,M3.5,R01,L,[R2001]  1681,05 35 04.0,-05 40 51.6,1,15.991894,,
204,JW 243,10.34,0.006,9.94,0.006,9.41,0.018,8.68,0.044,10.1,M2,H97,H,JW 243,05 35 04.1,-05 26 37.2,1,14.966702,,
205,JW 245,9.72,0.003,9.45,0.004,9.06,0.012,8.57,0.035,9.46,M2,H97,H,JW 245,05 35 04.2,-05 26 27.8,1,15.292636,,
206,Par 1724,7.19,0.001,7.22,0.002,7.09,0.002,7.02,0.004,5.61,K0V,H97,H,Parenago 1724,05 35 04.3,-05 08 12.5,1,10.146164,1.1533,8.992864
207,JW 248,8.89,0.006,8.55,0.006,8.0,0.023,7.22,0.06,6.21,M0.5,H97,H,JW 248,05 35 04.4,-05 23 13.9,1,14.57122,,
208,Par 1737,8.49,0.005,8.24,0.003,7.92,0.019,7.82,0.091,3.82,K2,H97,H,Parenago 1737,05 35 04.5,-05 23 56.5,1,14.568772,,
209,JW 250,10.39,0.006,10.11,0.008,9.79,0.027,9.64,0.116,2.71,M3,H97,L,JW 250,05 35 04.5,-05 26 04.4,1,15.584298,,
210,JW 254,10.39,0.005,10.05,0.006,9.6,0.025,9.16,0.083,3.52,M3,H97,L,JW 254,05 35 04.6,-05 26 23.1,1,15.999413,,
211,JW 258,9.86,0.004,9.59,0.005,9.33,0.019,8.62,0.056,10.98,M0.5,H97,H,JW 258,05 35 04.8,-05 26 38.0,1,15.208543,,
212,JW 257,10.84,0.024,10.35,0.035,9.84,0.073,8.68,0.093,5.22,M4.5,H97,L,JW 257,05 35 04.8,-05 22 38.7,1,16.07257,,
213,Par 1721,10.91,0.004,10.96,0.006,10.93,0.017,10.87,0.068,24.87,M1.5,R01,H,Parenago 1721,05 35 04.9,-04 49 13.1,1,14.668904,,
214,JW 263,10.53,0.003,10.08,0.003,9.8,0.009,8.82,0.028,7.75,M4.5,H97,L,JW 263,05 35 05.1,-05 36 43.8,1,16.2107,,
215,Par 1748,9.31,0.002,8.99,0.003,8.64,0.006,8.16,0.024,8.25,M0,H97,H,Parenago 1748,05 35 05.3,-05 34 28.5,1,15.402205,2.4979,12.904305
216,JW 278,8.06,0.004,7.62,0.003,7.25,0.01,6.67,0.029,6.76,K2-K7,H97,H,JW 278,05 35 05.7,-05 24 18.5,1,15.15616,,
217,JW 269,10.11,0.004,9.68,0.003,9.43,0.031,8.62,0.075,5.8,,,,JW 269,05 35 05.7,-05 11 35.1,1,18.186419,,
218,R01- 1710,11.09,0.004,11.18,0.005,11.25,0.017,10.97,0.041,4.18,M0,R01,H,[R2001]  1710,05 35 06.1,-05 45 31.2,2,14.307561,,
219,Par 1755,7.78,0.002,6.94,0.002,6.01,0.004,4.91,0.009,2.85,M0.5,H97,H,Parenago 1755,05 35 06.4,-05 33 35.2,1,15.82361,,
220,JW 299,11.57,0.013,11.24,0.017,10.69,0.064,9.39,0.106,2.76,,,,JW 299,05 35 06.9,-05 26 00.6,1,17.18556,,
221,JW 301,10.19,0.004,10.22,0.004,9.75,0.033,8.93,0.073,7.92,,,,JW 301,05 35 07.5,-05 11 14.5,1,15.97405,,
222,Par 1763,9.73,0.003,9.67,0.003,9.53,0.019,9.73,0.079,4.17,M3,H97,L,Parenago 1763,05 35 07.6,-05 36 19.6,1,13.691401,,
223,CHS 7678,8.72,0.01,8.19,0.007,7.78,0.053,6.62,0.107,7.88,,,,[CHS2001] 7678,05 35 07.7,-05 21 01.5,1,20.207525,,
224,JW 326,9.95,0.005,9.86,0.003,0.0,0.0,9.69,0.191,6.63,K6-K8,H97,H,JW 326,05 35 08.7,-05 29 01.6,1,16.933598,,
225,CHS 7797,12.75,0.013,11.92,0.012,11.0,0.018,9.89,0.043,17.08,,,,[CHS2001] 7797,05 35 08.7,-05 31 27.5,1,19.890568,,
226,R01- 1750,10.72,0.003,10.38,0.003,10.22,0.008,9.47,0.024,1.97,M4,R01,L,[R2001]  1750,05 35 08.7,-05 04 40.8,1,15.948042,,
227,Par 1773,9.69,0.003,9.83,0.003,9.71,0.03,9.48,0.119,1.57,K1-K4,H97,H,Parenago 1773,05 35 09.1,-05 29 59.2,1,12.738749,1.1324,11.606348
228,Par 1764,10.11,0.002,10.31,0.003,10.17,0.007,10.09,0.034,7.84,M0,R01,H,Parenago 1764,05 35 09.1,-05 06 47.2,1,13.80773,2.4872,11.32053
229,H97: 3134,8.05,0.002,7.66,0.002,7.17,0.002,6.39,0.005,6.09,,,,[H97b] 3134,05 35 09.2,-05 30 58.5,1,17.814333,,
230,JW 338,9.46,0.004,9.08,0.004,8.7,0.029,7.79,0.056,6.62,M3.5,H97,L,JW 338,05 35 09.9,-05 19 34.0,1,16.097113,,
231,CHS 8034,12.65,0.011,12.25,0.012,11.99,0.048,11.51,0.141,2.94,,,,[CHS2001] 8034,05 35 10.7,-04 42 07.6,1,20.526106,,
232,JW 356,8.21,0.006,7.74,0.005,6.98,0.042,5.87,0.074,4.69,M3,H97,L,JW 356,05 35 10.9,-05 24 48.6,1,15.413756,,
233,R01- 1782,12.11,0.008,12.2,0.012,12.13,0.032,12.28,0.174,2.5,M3.5,R01,L,[R2001]  1782,05 35 11.0,-04 47 12.4,1,16.045937,0.5224,15.523537
