recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
409,02 18 44.69,+57 09 18.4,19.43,10.5,150.3,<,0.001,0.029,0.64,2,21.83,18.84,17.02,16.22,4.081360819912035,1.0,X,0.999994,1,0.6845335530174355,0.012947409840164022
410,02 18 24.70,+57 09 08.5,19.81,10.9,150.3,<,0.001,0.053,0.53,1,,,17.55,16.77,4.631360819912036,,,0.999992,1,0.4779385394858426,0.012947409840164022
411,02 18 53.37,+57 16 19.8,19.7,0.447,150.0,<,0.001,0.045,0.56,1,21.88,19.1,17.28,16.44,4.341360819912033,1.0,,0.99999,1,0.5826261994309702,0.012947409840164022
413,02 19 39.61,+56 59 51.2,16.77,8.13,149.4,,0.001,0.008,1.3,1,17.77,16.34,15.33,14.79,2.7813608199120345,3.0,,0.999992,1,1.2116318355988678,0.012947409840164022
414,02 18 46.75,+57 02 57.2,16.1,2.27,149.3,,0.001,0.004,1.38,1,17.02,15.77,14.83,14.4,2.431360819912035,1.0,,0.999996,1,1.3002888374378447,0.012947409840164022
415,02 17 57.11,+57 10 00.5,20.12,0.665,149.2,,0.001,0.093,0.44,1,22.48,19.45,17.5,16.73,4.591360819912033,1.0,,0.999503,1,0.49049631254691983,0.012947409840164022
416,02 19 05.37,+57 09 01.7,16.67,0.374,149.1,,0.001,0.022,1.32,2,,,15.09,14.43,2.381360819912034,,X,0.999995,1,,0.0
417,02 18 38.52,+56 59 39.4,19.11,6.76,148.5,,0.001,0.036,0.75,1,,,17.03,16.19,4.161360819912035,,,0.999998,1,0.6533333965558867,0.012947409840164022
418,02 18 31.74,+57 03 25.1,20.14,0.64,148.0,,0.001,0.05,0.45,1,22.35,19.51,17.63,16.81,4.701360819912036,1.0,X,0.999067,1,0.4561245118723545,0.012947409840164022
419,02 19 09.13,+57 05 57.1,19.98,6.85,147.5,,0.001,0.055,0.48,1,22.09,19.21,17.54,16.7,4.611360819912036,1.0,X,0.999996,1,0.4842115807408895,0.012947409840164022
420,02 19 24.66,+57 15 36.1,16.87,2.6,147.3,,0.001,0.005,1.27,1,17.9,16.43,15.44,14.88,2.9113608199120353,3.0,X,0.999994,1,1.1717184788089223,0.012947409840164022
421,02 18 23.61,+57 12 40.5,18.56,11.2,147.2,,0.001,0.032,0.93,1,,,16.68,15.9,3.8713608199120344,,,0.999988,1,0.7725891562033238,0.012947409840164022
422,02 18 22.94,+57 13 04.9,18.39,0.423,147.2,,0.001,0.016,0.99,1,19.96,17.9,16.44,15.68,3.6213608199120344,1.0,,0.999999,1,0.8827785934378296,0.012947409840164022
424,02 18 07.07,+57 06 41.4,18.69,6.52,146.3,,0.001,0.018,0.89,1,20.3,18.11,16.55,15.76,3.7113608199120343,1.0,X,0.999988,1,0.8428980287985315,0.012947409840164022
425,02 18 06.02,+57 11 16.8,19.85,0.62,145.8,,0.001,0.034,0.51,1,22.12,19.25,17.38,16.61,4.501360819912033,1.0,,0.999989,1,0.5226861553749079,0.012947409840164022
427,02 19 00.90,+57 04 49.0,16.77,4.05,144.8,,0.001,0.012,1.3,2,18.0,16.37,15.17,14.56,2.551360819912034,3.0,X,0.999993,1,1.2710077626381766,0.012947409840164022
428,02 18 35.81,+57 03 17.2,17.13,7.81,144.0,,0.001,0.008,1.24,1,18.15,16.73,15.7,15.15,3.2113608199120343,0.0,,0.999994,1,1.0630124170945843,0.012947409840164022
429,02 19 46.91,+57 02 03.8,19.31,0.455,143.5,,0.001,0.027,0.68,2,21.36,18.68,16.78,15.97,3.8713608199120344,1.0,,0.999995,1,0.7725891562033238,0.012947409840164022
430,02 19 32.90,+57 05 23.0,18.23,14.5,143.4,,0.001,0.023,1.03,2,19.94,17.71,16.17,15.37,3.311360819912034,1.0,,0.999998,1,1.0220558732510514,0.012947409840164022
431,02 20 00.49,+57 03 28.2,19.34,0.447,142.6,,0.001,0.038,0.66,1,21.12,18.78,17.04,16.2,4.1513608199120355,1.0,,0.999994,1,0.656962133700282,0.012947409840164022
432,02 19 18.35,+57 05 25.3,19.6,0.436,141.5,,0.001,0.048,0.59,2,22.19,18.95,16.98,16.17,4.051360819912034,1.0,,0.999993,1,0.6966661488285494,0.012947409840164022
433,02 19 34.96,+57 06 12.8,16.55,4.39,141.0,,0.001,0.005,1.33,1,,,15.11,14.64,2.6913608199120347,,,0.999996,1,1.235624698241294,0.012947409840164022
434,02 20 00.47,+57 02 04.8,19.5,5.52,140.9,,0.001,0.033,0.62,1,21.55,18.95,17.21,16.37,4.331360819912035,1.0,,0.999973,1,0.586731118402439,0.012947409840164022
435,02 18 02.23,+57 03 59.7,19.58,4.72,140.6,,0.001,0.056,0.58,1,,,17.28,16.42,4.341360819912033,,,0.999993,1,0.5826261994309702,0.012947409840164022
436,02 18 32.93,+57 09 36.5,19.45,7.69,140.4,,0.002,0.024,0.64,1,,,17.3,16.5,4.391360819912034,,,0.999995,1,0.5643990778166258,0.012947409840164022
437,02 19 32.65,+57 11 16.8,19.58,10.2,140.4,,0.002,0.025,0.59,1,21.5,19.02,17.39,16.55,4.451360819912036,1.0,,0.999996,1,0.5417566057859952,0.012947409840164022
438,02 19 39.45,+57 09 40.9,19.9,3.26,140.3,,0.002,0.038,0.51,1,22.06,19.31,17.5,16.68,4.571360819912034,1.0,,0.999999,1,0.4967857379592629,0.012947409840164022
439,02 18 22.74,+57 01 48.9,18.17,3.39,140.2,,0.002,0.026,1.04,1,,,16.28,15.57,3.5413608199120343,,,0.999997,1,0.9181364203111843,0.012947409840164022
440,02 18 32.49,+57 13 39.1,18.26,0.343,139.7,,0.002,0.018,1.01,1,,,16.48,15.76,3.681360819912035,,,0.999994,1,0.856014950015867,0.012947409840164022
441,02 19 54.04,+57 04 53.1,16.63,0.795,139.6,,0.002,0.006,1.32,1,17.5,16.19,15.29,14.86,2.9113608199120353,0.0,X,0.999999,1,1.1717184788089223,0.012947409840164022
442,02 19 43.74,+57 02 52.5,20.27,6.02,139.5,,0.002,0.067,0.41,1,22.75,19.61,17.63,16.79,4.711360819912034,1.0,X,0.999143,1,0.45280238909326853,0.012947409840164022
443,02 19 42.50,+57 02 07.9,19.98,7.52,139.3,,0.002,0.039,0.48,1,22.29,19.38,17.48,16.64,4.541360819912036,1.0,,0.999998,1,0.5079763131564018,0.012947409840164022
444,02 17 59.45,+57 07 19.2,20.05,0.518,139.3,,0.002,0.066,0.47,1,,,17.61,16.85,4.7813608199120345,,,0.999353,1,0.43104894353225887,0.012947409840164022
445,02 19 23.08,+57 11 35.1,19.15,8.62,138.0,,0.002,0.028,0.67,1,,,16.98,16.17,4.0713608199120355,,,0.999983,1,0.6881783791435433,0.012947409840164022
446,02 18 30.64,+57 09 33.5,19.24,5.26,137.6,,0.002,0.028,0.7,2,,,16.81,16.05,3.921360819912035,,X,0.99977,1,0.7511776825804246,0.012947409840164022
