recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
127,02 18 54.85,+57 05 31.5,18.61,2.94,290.4,<,0.001,0.039,2,20.43,18.06,16.42,15.62,15.37,1,X,0.999967,1,,,,,,
128,02 18 31.14,+57 13 30.4,16.81,0.586,290.1,<,0.001,0.017,1,17.88,16.38,15.29,14.73,14.55,3,X,0.999987,1,4953.0,126.0,0.82,,,-0.12246164990517117
129,02 19 18.63,+57 01 39.2,17.45,0.849,289.8,<,0.001,0.03,1,18.56,16.91,15.75,15.05,14.83,3,X,0.999978,1,4587.0,136.0,0.73,,,-0.19919359817834856
130,02 19 20.43,+57 04 39.3,18.21,0.66,289.7,<,0.001,0.039,2,19.92,17.74,16.08,15.33,15.08,1,X,0.99993,1,,,,,,
131,02 19 36.30,+57 02 23.6,17.84,0.348,288.8,<,0.001,0.033,1,19.13,17.34,15.96,15.26,15.06,3,,0.999998,1,4411.0,138.0,,,,
132,02 19 19.05,+57 12 55.6,17.63,0.419,288.2,<,0.001,0.023,2,18.91,17.11,15.71,15.02,14.77,3,X,0.999994,1,4626.0,130.0,0.73,,,-0.14440210909508458
133,02 19 02.95,+57 14 01.2,17.61,2.66,288.2,<,0.001,0.028,1,18.89,17.17,15.99,15.37,15.14,0,,0.999996,1,4942.0,150.0,,,,
134,02 18 49.64,+57 15 07.6,18.2,2.72,287.4,<,0.001,0.038,1,19.64,17.78,16.4,15.65,15.43,1,,0.999998,1,,,,,,
135,02 19 41.32,+57 05 17.1,18.87,5.71,287.2,<,0.001,0.047,1,,,16.81,15.97,15.74,,,0.999989,1,,,,,,
136,02 19 19.64,+57 08 41.9,18.25,3.45,286.5,<,0.001,0.03,1,,,16.31,15.55,15.27,,X,0.999999,1,,,,,,
137,02 19 58.67,+57 10 58.2,19.75,0.356,285.3,<,0.001,0.07,1,21.91,19.11,17.35,16.48,16.2,1,,0.999998,1,,,,,,
138,02 18 26.21,+57 03 11.2,18.39,2.38,285.1,<,0.001,0.05,1,19.78,17.85,16.42,15.68,15.47,1,X,0.999979,1,,,,,,
139,02 19 24.76,+57 10 19.4,19.32,0.493,284.7,<,0.001,0.068,1,21.42,18.69,17.01,16.26,15.95,1,X,0.999994,1,,,,,,
140,02 17 58.71,+57 04 43.0,16.53,0.773,284.7,<,0.001,0.019,1,17.53,16.11,15.06,14.51,14.34,1,X,0.999996,1,5047.0,128.0,0.84,,,0.09572363871012848
141,02 19 50.43,+57 10 50.8,18.42,0.503,284.4,<,0.001,0.044,2,20.35,17.87,16.14,15.32,15.03,1,X,0.999983,1,,,,,,
142,02 19 21.71,+57 13 15.2,17.0,0.665,283.3,<,0.001,0.022,1,18.13,16.56,15.37,14.8,14.59,3,X,0.999994,1,4956.0,129.0,0.82,,,0.05972620049163192
143,02 19 23.59,+57 15 33.8,18.82,2.24,282.7,<,0.001,0.024,2,,,16.51,15.71,15.41,,,0.999994,1,,,,,,
144,02 19 34.94,+57 00 06.2,19.06,3.32,281.8,<,0.001,0.038,1,20.92,18.54,16.99,16.14,15.87,1,,0.999996,1,,,,,,
145,02 19 56.30,+57 01 07.3,16.86,4.63,281.8,<,0.001,0.031,1,18.06,16.49,15.37,14.73,14.56,3,,0.999991,1,4816.0,125.0,0.78,,,-0.4366613295869945
146,02 19 22.74,+57 06 21.6,16.32,1.33,281.6,<,0.001,0.02,1,17.4,15.93,14.92,14.41,14.28,3,X,0.999995,1,5267.0,128.0,0.9,,,0.190421349712521
147,02 18 13.19,+57 07 46.6,19.22,0.294,281.4,<,0.001,0.083,1,21.16,18.67,16.99,16.09,15.85,1,,0.999998,1,,,,,,
148,02 19 03.03,+57 04 51.9,16.05,0.433,279.3,<,0.001,0.021,2,17.11,15.66,14.61,14.11,13.94,3,X,0.999995,1,5222.0,126.0,0.89,,,0.4304378915291479
149,02 18 05.33,+57 10 51.6,19.59,0.946,279.2,<,0.001,0.056,1,,,17.23,16.39,16.1,,,0.99999,1,,,,,,
150,02 18 07.84,+57 08 50.3,19.73,0.284,279.1,<,0.001,0.07,1,,,17.23,16.42,16.13,,,0.999999,1,,,,,,
151,02 19 53.17,+57 03 08.1,18.88,5.52,278.0,<,0.001,0.034,1,20.44,18.29,16.82,16.04,15.84,1,,0.999997,1,,,,,,
152,02 18 17.96,+57 12 21.6,16.16,0.391,277.9,<,0.001,0.01,2,17.17,15.71,14.61,14.01,13.8,3,X,0.999987,1,4779.0,132.0,,,,
153,02 18 21.74,+57 04 37.3,16.33,2.93,277.7,<,0.001,0.01,1,17.34,16.0,15.01,14.52,14.37,3,X,0.999995,1,5181.0,125.0,0.88,,,0.15433266124230516
154,02 19 34.58,+57 05 06.1,17.29,3.05,276.7,<,0.001,0.023,1,18.58,16.87,15.64,15.01,14.84,3,X,0.999989,1,4972.0,143.0,0.82,,,-0.10511927856813384
155,02 19 08.89,+57 03 57.7,16.09,0.406,276.6,<,0.001,0.012,2,17.1,15.68,14.64,14.1,13.94,3,X,0.999995,1,4962.0,126.0,,,,
