Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
423,5.051360819912034,0.31053030140818016,0.06036238380157702,0.32,1,1.0,1.43,,0.0,0.0
424,3.7113608199120343,0.841570244233117,0.06036238380157702,0.89,1,1.0,6.52,0.6579,34.94546244335,57.03434281631
425,4.501360819912033,0.5284944570452814,0.06036238380157702,0.51,1,1.0,0.62,0.4234,34.88706031397,57.08965841221
426,4.851360819912035,0.38978999436712547,0.06036238380157702,0.37,1,1.0,0.436,,0.0,0.0
429,3.8713608199120344,0.7781624898659603,0.06036238380157702,0.68,2,1.0,0.455,0.0704,35.00198937574,57.03463153098
431,4.1513608199120355,0.6671989197234356,0.06036238380157702,0.66,1,1.0,0.447,0.5265,34.63719737531,57.16007736156
432,4.051360819912034,0.7068287662029091,0.06036238380157702,0.59,2,1.0,0.436,0.9261,34.88606171914,57.18793311663
434,4.331360819912035,0.5958651960603845,0.06036238380157702,0.62,1,1.0,5.52,0.5983,34.59472379719,57.0301950768
437,4.451360819912036,0.5483093802850167,0.06036238380157702,0.59,1,1.0,10.2,,34.93224645148,57.04785294728
438,4.571360819912034,0.5007535645096501,0.06036238380157702,0.51,1,1.0,3.26,-0.3351,34.92708336026,57.03543895628
442,4.711360819912034,0.4452717794383878,0.06036238380157702,0.41,1,1.0,6.02,0.5458,34.64125548229,57.19722310429
443,4.541360819912036,0.5126425184534911,0.06036238380157702,0.48,1,1.0,7.52,0.7279,34.77805661902,57.09846416047
447,5.011360819912035,0.32638223999996896,0.06036238380157702,0.38,1,1.0,4.05,,0.0,0.0
448,3.9113608199120353,0.7623105512741708,0.06036238380157702,0.87,1,1.0,4.88,0.5442,34.76242985627,57.21701151917
449,4.331360819912035,0.5958651960603845,0.06036238380157702,0.65,1,1.0,7.96,0.4599,34.75462078893,57.16618154885
451,4.301360819912034,0.607754150004227,0.06036238380157702,0.65,1,1.0,7.87,,34.64772515797,57.25143626598
454,4.791360819912036,0.4135679022548089,0.06036238380157702,0.44,1,1.0,8.26,0.6902,34.7843596995,57.04287192686
455,3.431360819912035,0.9525338143756408,0.06036238380157702,0.93,2,1.0,3.95,0.1487,34.68396923525,57.21314942031
458,4.711360819912034,0.4452717794383878,0.06036238380157702,0.44,1,1.0,0.827,0.2881,34.8423038618,57.21460767513
459,4.561360819912036,0.5047165491575967,0.06036238380157702,0.48,1,1.0,0.341,0.6398,34.48658258572,57.1086091028
460,4.421360819912035,0.560198334228859,0.06036238380157702,0.56,1,1.0,2.63,0.267,34.5791150447,57.17215378927
461,3.9913608199120354,0.7306066740905923,0.06036238380157702,0.84,1,1.0,10.5,0.469,34.87918117016,57.24207649986
465,3.9113608199120353,0.7623105512741708,0.06036238380157702,0.7,2,1.0,5.41,0.2822,34.90309273855,56.99972765301
469,4.161360819912035,0.6632359350754884,0.06036238380157702,0.77,1,1.0,6.99,0.3244,34.51213192428,57.17691637851
474,3.9113608199120353,0.7623105512741708,0.06036238380157702,0.75,1,1.0,6.1,0.2767,34.93361714729,57.0532395803
478,4.2813608199120345,0.6156801193001213,0.06036238380157702,0.59,1,1.0,0.473,0.548,34.83912271925,57.22889983576
483,4.631360819912036,0.4769756566219656,0.06036238380157702,0.41,2,1.0,0.395,,0.0,0.0
487,4.181360819912035,0.655309965779594,0.06036238380157702,0.73,1,1.0,4.12,1.4636,34.48648719879,57.18179863969
488,3.971360819912034,0.7385326433864874,0.06036238380157702,0.61,2,1.0,0.537,,34.6227521869,57.17832292406
490,4.421360819912035,0.560198334228859,0.06036238380157702,0.54,1,1.0,0.55,0.8984,34.50668145627,57.18204805798
491,3.891360819912034,0.7702365205700659,0.06036238380157702,0.69,2,1.0,1.3,,34.56117125236,57.06673761165
493,4.161360819912035,0.6632359350754884,0.06036238380157702,0.74,1,1.0,6.03,0.0755,34.84084086863,57.11863310195
494,3.311360819912034,1.0000896301510087,0.06036238380157702,0.95,2,1.0,0.231,0.9064,34.51279687261,57.25939718901
496,3.681360819912035,0.8534591981769586,0.06036238380157702,0.83,2,1.0,10.8,0.3675,34.90473774779,57.20690620025
497,4.611360819912036,0.48490162591786,0.06036238380157702,0.48,1,1.0,8.47,-0.4306,34.6533085567,57.24167346917
499,3.841360819912035,0.7900514438098019,0.06036238380157702,0.88,1,1.0,4.88,-0.11,34.57203109282,57.11650690951
500,4.261360819912035,0.6236060885960157,0.06036238380157702,0.61,1,1.0,0.468,0.9797,34.84887981412,57.23378093926
501,4.181360819912035,0.655309965779594,0.06036238380157702,0.56,2,1.0,0.543,1.0975,34.75807807263,57.01190554953
503,3.8613608199120346,0.7821254745139075,0.06036238380157702,0.91,1,1.0,0.842,0.2747,34.79577750867,57.15815616115
504,4.001360819912035,0.7266436894426451,0.06036238380157702,0.6,2,1.0,0.645,0.2851,34.54582237695,57.04608922358
506,3.311360819912034,1.0000896301510087,0.06036238380157702,0.97,2,1.0,3.33,-1.0641,34.64009995751,57.24355833313
508,4.711360819912034,0.4452717794383878,0.06036238380157702,0.5,1,1.0,10.9,0.8202,34.81499891864,57.04611047476
511,3.8713608199120344,0.7781624898659603,0.06036238380157702,0.83,1,1.0,0.792,0.7429,34.51743432755,57.26058191018
512,4.481360819912034,0.5364204263411758,0.06036238380157702,0.52,1,1.0,0.45,0.1914,34.53446452875,57.2283148358
514,4.581360819912035,0.4967905798617023,0.06036238380157702,0.51,1,1.0,5.41,0.3427,34.63354100533,57.19932105315
516,4.991360819912035,0.33430820929586336,0.06036238380157702,0.36,1,1.0,0.446,,0.0,0.0
517,3.7713608199120348,0.8177923363454329,0.06036238380157702,0.99,1,1.0,4.18,-1.017,34.65276215326,57.14159214784
518,4.711360819912034,0.4452717794383878,0.06036238380157702,0.47,1,1.0,7.75,0.339,34.60493027111,57.20143326184
519,4.581360819912035,0.4967905798617023,0.06036238380157702,0.51,1,1.0,1.26,0.6062,34.90921373735,57.00817729364
520,4.121360819912034,0.6790878736672781,0.06036238380157702,0.58,2,1.0,0.463,,34.96594242406,57.03165435512
521,4.521360819912033,0.5205684877493868,0.06036238380157702,0.51,1,1.0,0.814,0.4837,34.77885749598,57.093423015
522,4.5313608199120345,0.5166055031014389,0.06036238380157702,0.52,1,1.0,7.75,-0.9782,34.65079997812,57.21808574789
