Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
567,6.349359821608809,0.15784471216171037,0.012963976336862026,0.197,2,1.0,1.3743,6.6485,241.66372898298,-17.4806164731
574,6.619359821608809,0.13601060526916664,0.012963976336862026,0.207,2,2.0,1.7541,7.2334,241.74732384827,-20.55141084679
577,6.029359821608809,0.18372217218250297,0.012963976336862026,0.242,2,1.0,1.3301,7.3079,241.75210247283,-22.11015917061
580,5.8793598216088085,0.19585223156724957,0.012963976336862026,0.205,2,3.0,0.987,7.0688,241.765491948,-20.71883649676
582,5.47935982160881,0.2281990565932402,0.012963976336862026,0.259,2,1.0,1.2445,6.4526,241.76974189383,-20.26560197916
590,4.139359821608808,0.3365609204303093,0.012963976336862026,0.309,2,1.0,1.1268,10.7392,241.82248446041,-17.87523620777
600,6.769359821608809,0.1238805458844201,0.012963976336862026,0.193,2,3.0,0.9942,7.0613,241.86473914433,-20.30969435805
602,5.48935982160881,0.22739038596759042,0.012963976336862026,0.27,2,3.0,1.8029,0.8798,241.88961961037,-21.90168804956
606,5.269359821608809,0.24518113973188538,0.012963976336862026,0.316,2,3.0,1.5467,7.1613,241.91412057376,-19.29656518746
623,5.97935982160881,0.18776552531075175,0.012963976336862026,0.157,2,1.0,0.2784,7.0097,242.00988172959,-20.37616612963
625,5.029359821608809,0.26458923474747986,0.012963976336862026,0.238,2,1.0,0.7071,7.1021,242.01753557788,-21.48886855874
628,5.7493598216088095,0.20636494970069647,0.012963976336862026,0.285,2,1.0,0.5673,6.4422,242.02540083694,-24.71843631829
629,4.07935982160881,0.3414129441842078,0.012963976336862026,0.152,2,3.0,2.448,6.4412,242.03526233682,-22.4167739192
634,5.689359821608809,0.2112169734545951,0.012963976336862026,0.297,2,3.0,2.6312,7.1534,242.06138855079,-19.14254139672
647,5.769359821608809,0.20474760844939693,0.012963976336862026,0.3,2,1.0,0.7257,,242.09941198778,-19.59787151486
649,6.259359821608809,0.1651227477925583,0.012963976336862026,0.259,2,1.0,1.6873,7.0848,242.11386300062,-22.29157998292
651,5.139359821608808,0.25569385786533244,0.012963976336862026,0.304,2,3.0,2.6303,7.1406,242.12702179274,-23.58649102272
660,4.719359821608808,0.2896580241426227,0.012963976336862026,0.275,2,3.0,4.8533,7.2817,242.17372330102,-18.93639386552
669,5.7493598216088095,0.20636494970069647,0.012963976336862026,0.296,2,3.0,1.8145,7.1438,242.20970920907,-22.05804003231
672,5.609359821608809,0.21768633845979324,0.012963976336862026,0.315,2,3.0,2.832,7.0499,242.23633268516,-20.56284457757
677,6.39935982160881,0.15380135903346148,0.012963976336862026,0.225,2,3.0,1.6151,6.8769,242.25207790683,-27.75549947177
681,6.279359821608809,0.16350540654125878,0.012963976336862026,0.158,2,1.0,0.7705,6.306,242.2569579475,-27.6812577878
686,6.0493598216088085,0.1821048309312035,0.012963976336862026,0.15,2,1.0,1.7439,5.8859,242.26695397892,-19.56687238961
687,5.779359821608809,0.20393893782374722,0.012963976336862026,0.277,2,1.0,1.8192,6.8624,242.26875952536,-22.4146313641
693,5.539359821608809,0.22334703283934165,0.012963976336862026,0.195,2,1.0,1.8996,6.8808,242.28909216937,-22.76650586263
696,7.369359821608809,0.07536030834543406,0.012963976336862026,0.169,2,2.0,0.6223,6.4323,242.31585183996,-19.61849538624
698,4.699359821608809,0.2912753653939222,0.012963976336862026,0.302,2,3.0,1.3957,0.4822,242.33506070834,-16.77797842077
699,5.969359821608808,0.18857419593640162,0.012963976336862026,0.236,2,1.0,0.5626,7.1143,242.33560986024,-19.44230440313
702,6.14935982160881,0.17401812467470568,0.012963976336862026,0.226,2,1.0,1.4668,7.0952,242.33898147212,-21.6597306093
703,6.389359821608808,0.15461002965911141,0.012963976336862026,0.212,2,1.0,1.8066,10.0611,242.36224047772,-25.65238014656
710,5.57935982160881,0.22011235033674253,0.012963976336862026,0.292,2,3.0,1.125,7.3804,242.37953179249,-20.69620192977
713,5.2493598216088095,0.24679848098318485,0.012963976336862026,0.181,2,3.0,1.2944,7.1492,242.3907445881,-19.08237918334
715,5.039359821608809,0.2637805641218301,0.012963976336862026,0.262,2,1.0,1.1663,6.526,242.400327105,-20.94054390327
721,6.14935982160881,0.17401812467470568,0.012963976336862026,0.315,2,2.0,0.8366,7.0449,242.4313673852,-24.71950068197
727,4.459359821608809,0.31068346040951667,0.012963976336862026,0.244,2,3.0,0.6513,6.7783,242.46275771737,-27.37842025682
732,4.64935982160881,0.29531871852217095,0.012963976336862026,0.19,2,1.0,1.1992,6.3049,242.47336040072,-17.91327017782
735,6.179359821608809,0.17159211279775644,0.012963976336862026,0.278,2,1.0,2.5441,7.2209,242.49183033024,-22.40980973332
737,6.97935982160881,0.10689846274577486,0.012963976336862026,0.218,2,3.0,1.5116,7.1403,242.49423631019,-23.5823091239
738,6.089359821608809,0.17887014842860433,0.012963976336862026,0.198,2,1.0,13.649,7.3289,242.49717157881,-18.00262648927
739,5.609359821608809,0.21768633845979324,0.012963976336862026,0.268,2,3.0,0.7567,7.1054,242.49957431111,-21.92860599272
743,5.309359821608808,0.24194645722928637,0.012963976336862026,0.209,2,1.0,0.4985,6.3834,242.51637950411,-27.48008634654
748,7.089359821608809,0.09800308586362749,0.012963976336862026,0.182,2,2.0,0.2112,7.1622,242.54846259101,-23.22345391368
751,5.769359821608809,0.20474760844939693,0.012963976336862026,0.247,2,1.0,0.8799,7.1929,242.56136207747,-19.31938640281
757,5.639359821608808,0.215260326582844,0.012963976336862026,0.302,2,1.0,2.1352,6.3485,242.58969257898,-27.90493422034
761,5.509359821608809,0.2257730447162909,0.012963976336862026,0.293,2,3.0,3.6567,6.4445,242.60304613323,-19.23545225793
