Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
290,11.079990748440748,0.4048732414987124,0.013601094896210647,0.44,,1.0,,2.542,118.75857786301,-60.70815863549
291,10.509990748440748,0.45915246706550805,0.013601094896210647,0.49,,1.0,,2.3436,118.84770556702,-60.69751350885
324,10.199990748440745,0.48867274763692337,0.013601094896210647,0.53,,1.0,,1.8906,119.96432916437,-61.13370937298
325,12.459990748440747,0.2734603796001551,0.013601094896210647,0.28,,1.0,,2.1897,119.97561045807,-61.10487560588
332,10.869990748440747,0.4248708509180583,0.013601094896210647,0.45,,1.0,,2.5116,120.31320086608,-60.93637776251
333,9.469990748440745,0.5581882470470299,0.013601094896210647,0.58,,1.0,13.965,2.4207,119.98263342767,-61.04714899248
334,8.999990748440746,0.6029448014617559,0.013601094896210647,0.62,,1.0,7.782,2.3976,119.96864324386,-61.03352089307
335,11.559990748440745,0.3591644199687798,0.013601094896210647,0.37,,1.0,,2.4519,119.97352774193,-61.01150638553
336,11.089990748440746,0.4039209743835057,0.013601094896210647,0.42,,1.0,,2.379,119.89151422957,-60.9853544366
339,9.869990748440747,0.5200975624387522,0.013601094896210647,0.55,,1.0,,2.426,119.93627183836,-60.97503372379
340,12.019990748440746,0.31536013266926055,0.013601094896210647,0.33,,1.0,,2.6934,120.00598735485,-60.9215537907
347,11.239990748440748,0.38963696765540146,0.013601094896210647,0.41,,1.0,,2.3928,120.44658486004,-60.96508614726
348,8.709990748440747,0.630560547802757,0.013601094896210647,0.66,,1.0,7.311,2.44,120.34529587297,-60.88484538523
350,12.089990748440746,0.308694262862812,0.013601094896210647,0.31,,1.0,,2.4375,120.62872446847,-60.81231987521
351,10.319990748440746,0.47724554225443994,0.013601094896210647,0.5,,1.0,,2.3887,120.70146567891,-60.78595072197
352,11.199990748440745,0.3934460361162295,0.013601094896210647,0.45,,1.0,,2.4302,120.6535919294,-60.79052770512
353,10.329990748440748,0.4762932751392329,0.013601094896210647,0.54,,1.0,,2.4516,120.64454128484,-60.7679287988
359,9.439990748440747,0.5610450483926505,0.013601094896210647,0.62,,1.0,,2.4477,120.34691611821,-60.77066362278
360,9.029990748440747,0.600088000116135,0.013601094896210647,0.64,,1.0,,2.3924,120.40153517811,-60.75767999649
361,11.649990748440745,0.3505940159319174,0.013601094896210647,0.37,,1.0,,2.5937,120.56023244659,-60.76216718516
362,9.329990748440748,0.5715199866599268,0.013601094896210647,0.6,,1.0,,2.4187,120.54146192619,-60.711665952
363,10.649990748440745,0.44582072745261114,0.013601094896210647,0.49,,1.0,,,120.60276183772,-60.71037766164
370,9.409990748440746,0.5639018497382714,0.013601094896210647,0.62,,1.0,,1.857,120.3945274573,-60.73122197097
371,12.109990748440746,0.30678972863239795,0.013601094896210647,0.32,,1.0,,2.1299,119.81489552052,-60.98808731397
375,12.579990748440748,0.2620331742176718,0.013601094896210647,0.27,,1.0,,1.8766,119.82120376235,-60.90343025448
376,8.829990748440748,0.6191333424202736,0.013601094896210647,0.67,,1.0,0.615,2.4446,119.72330208711,-60.90666601609
377,10.879990748440745,0.42391858380285163,0.013601094896210647,0.46,,1.0,1.642,2.5169,119.94405560544,-60.8558708036
385,10.439990748440747,0.4658183368719566,0.013601094896210647,0.49,,1.0,2.231,2.4421,120.07573851714,-60.80474669347
391,9.579990748440748,0.5477133087797532,0.013601094896210647,0.59,,1.0,,2.7948,119.73575444867,-60.87105640986
393,9.639990748440747,0.5419997060885118,0.013601094896210647,0.58,,1.0,0.762,2.4447,119.78992994318,-60.84761879187
404,9.179990748440746,0.585803993388031,0.013601094896210647,0.6,,1.0,0.454,2.4817,119.73491015938,-60.7896505663
