Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
1448,8.276570661666396,0.5777777840915219,0.04209712602898778,0.594,1,1,1.4162,6.0261,57.29710087344,23.55502767463
1449,11.451452661666394,0.1798305538057856,0.04209712602898778,0.195,1,1,,7.1856,57.29764575258,24.24000605914
1452,8.233907661666397,0.5831252655682131,0.04209712602898778,0.595,1,1,5.3258,7.451,57.30137654976,23.22814047452
1453,10.235470661666396,0.3322446180063796,0.04209712602898778,0.346,1,1,,7.3163,57.30272250751,25.70187044643
1457,8.030739661666397,0.6085908239362698,0.04209712602898778,0.619,1,1,0.3983,7.3369,57.31420347455,24.56707217101
1460,11.443146661666397,0.18087164752037177,0.04209712602898778,0.198,1,1,0.3628,7.5805,57.32009187664,24.01607812906
1464,10.813576661666396,0.25978344259527275,0.04209712602898778,0.268,1,1,,6.9715,57.33466730526,25.42830173269
1465,7.915616661666396,0.623020613450395,0.04209712602898778,0.63,1,1,,7.7477,57.33572618441,25.81781951369
1466,7.060071661666395,0.7302566502967442,0.04209712602898778,0.722,1,1,0.5603,7.3494,57.33590317007,24.7764623603
1468,10.386651661666397,0.3132952333609571,0.04209712602898778,0.324,1,1,0.3389,7.3762,57.33962532353,23.65157825458
1470,11.300752661666397,0.19871964877185344,0.04209712602898778,0.209,1,1,,7.3973,57.34143853207,24.91186927953
1471,11.136682661666395,0.21928457120770517,0.04209712602898778,0.229,1,1,,6.9403,57.34233213175,25.79368982438
1472,11.390665661666397,0.18744974037315365,0.04209712602898778,0.199,1,1,0.4171,7.557,57.34390172016,21.63209814174
1476,8.071657661666396,0.6034620648929947,0.04209712602898778,0.614,1,1,,8.9635,57.35900221551,21.28013396922
1477,10.988958661666395,0.23780064728446337,0.04209712602898778,0.247,1,1,,7.4702,57.36104652086,22.84835269894
1478,11.273377661666395,0.20215089611555737,0.04209712602898778,0.212,1,1,0.3888,7.4036,57.36500889975,24.40363692243
1479,9.490595661666395,0.4256090149065126,0.04209712602898778,0.446,1,1,0.543,6.8687,57.36525467918,24.53152918709
1480,5.777344661666396,0.8910366908975388,0.04209712602898778,0.901,1,1,5.7139,7.5887,57.3698575948,23.71197964152
1483,11.397554661666398,0.18658625679504293,0.04209712602898778,0.2,1,1,0.37,7.4006,57.37428421163,23.64851541723
1484,11.397173661666397,0.1866340122375254,0.04209712602898778,0.198,1,1,0.3013,7.3621,57.38016945576,23.68863083682
1486,10.905304661666396,0.24828603779734637,0.04209712602898778,0.258,1,1,0.7781,7.5283,57.38564080574,23.92829586717
1487,10.983343661666396,0.2385044446848248,0.04209712602898778,0.247,1,1,0.3933,7.4881,57.38580185574,23.41124239957
1489,11.145403661666396,0.21819146041010007,0.04209712602898778,0.228,1,1,,7.371,57.38677013765,25.79621120736
1490,9.960160661666396,0.3667526255386173,0.04209712602898778,0.387,1,1,1.5928,7.4187,57.38774921505,24.53383268332
1492,5.347445661666397,0.9449212498677958,0.04209712602898778,0.973,1,1,4.9432,7.2637,57.38809269499,23.79519571324
1494,8.202965661666395,0.5870036091411401,0.04209712602898778,0.604,1,1,1.2809,6.9297,57.39555500671,23.454458189
1495,11.322481661666394,0.19599608444194216,0.04209712602898778,0.206,1,1,,7.5481,57.39710417795,25.99281163336
1496,11.659217661666396,0.15378879656872413,0.04209712602898778,0.182,1,1,,7.3998,57.39781407381,22.39046720119
1497,7.742328661666397,0.6447409418411052,0.04209712602898778,0.65,1,1,0.2471,7.2797,57.3995914171,22.15123494503
1498,10.777477661666396,0.26430817676368745,0.04209712602898778,0.276,1,1,,,57.4006851,23.9393048
1500,10.840971661666398,0.2563496884041945,0.04209712602898778,0.265,1,1,,7.1765,57.40227687241,24.30373739744
